gene_name,ensembl,description,entrezgene
Ccdc83,ENSRNOG00000052220,coiled-coil domain containing 83 [Source:RGD Symbol;Acc:1594161],680270
Tmem130,ENSRNOG00000025235,transmembrane protein 130 [Source:RGD Symbol;Acc:1563248],304280
Mxd3,ENSRNOG00000016539,Max dimerization protein 3 [Source:RGD Symbol;Acc:628624],361208
Mxd3,ENSRNOG00000016539,Max dimerization protein 3 [Source:RGD Symbol;Acc:628624],252915
Grm8,ENSRNOG00000021468,glutamate metabotropic receptor 8 [Source:RGD Symbol;Acc:619858],60590
Gpr180,ENSRNOG00000009766,G protein-coupled receptor 180 [Source:RGD Symbol;Acc:1359193],306165
Prelid1,ENSRNOG00000016410,PRELI domain containing 1 [Source:RGD Symbol;Acc:1308082],290995
AABR07021545.1,ENSRNOG00000051139,,NA
Tnn,ENSRNOG00000002548,tenascin N [Source:RGD Symbol;Acc:1306002],304913
AABR07040780.1,ENSRNOG00000062239,,NA
Cnksr3,ENSRNOG00000018052,Cnksr family member 3 [Source:RGD Symbol;Acc:1307544],308113
AABR07024534.1,ENSRNOG00000025433,cytoplasmic polyadenylated homeobox 1 [Source:NCBI gene;Acc:502042],502042
Muc13,ENSRNOG00000001794,"mucin 13, cell surface associated [Source:RGD Symbol;Acc:708547]",207126
AABR07040782.1,ENSRNOG00000011067,,NA
AABR07021546.1,ENSRNOG00000051025,,NA
Serpina7,ENSRNOG00000011081,serpin family A member 7 [Source:RGD Symbol;Acc:619833],81806
RGD1559960,ENSRNOG00000040195,similar to Sulfotransferase K1 (rSULT1C2) [Source:RGD Symbol;Acc:1559960],501084
Gnl1,ENSRNOG00000000798,G protein nucleolar 1 [Source:RGD Symbol;Acc:1303051],309593
Neurl1,ENSRNOG00000020339,neuralized E3 ubiquitin protein ligase 1 [Source:RGD Symbol;Acc:1307021],309459
Yipf6,ENSRNOG00000006642,"Yip1 domain family, member 6 [Source:RGD Symbol;Acc:1566154]",363476
Tmem254,ENSRNOG00000011276,transmembrane protein 254 [Source:RGD Symbol;Acc:1305689],290529
Abcg3l1,ENSRNOG00000030216,"ATP-binding cassette, subfamily G (WHITE), member 3-like 1 [Source:RGD Symbol;Acc:1303294]",289453
Cldn2,ENSRNOG00000054495,claudin 2 [Source:RGD Symbol;Acc:1560247],300920
Rmdn2,ENSRNOG00000006082,regulator of microtubule dynamics 2 [Source:RGD Symbol;Acc:1559836],313840
AABR07008439.1,ENSRNOG00000052173,,NA
AABR07066340.1,ENSRNOG00000062213,,NA
AABR07066339.2,ENSRNOG00000062200,,NA
Adgre4,ENSRNOG00000050325,adhesion G protein-coupled receptor E4 [Source:RGD Symbol;Acc:1359641],450235
Arl5a,ENSRNOG00000006839,ADP-ribosylation factor like GTPase 5A [Source:RGD Symbol;Acc:621327],117050
AABR07037406.1,ENSRNOG00000062296,,NA
Gsto1,ENSRNOG00000028746,glutathione S-transferase omega 1 [Source:RGD Symbol;Acc:70952],114846
LOC100911042,ENSRNOG00000024960,uncharacterized LOC100911042 [Source:RGD Symbol;Acc:6495363],498096
LOC100911042,ENSRNOG00000024960,uncharacterized LOC100911042 [Source:RGD Symbol;Acc:6495363],100911042
Zfp800,ENSRNOG00000007662,zinc finger protein 800 [Source:RGD Symbol;Acc:1560157],500057
LOC103690044,ENSRNOG00000012801,glutathione S-transferase omega-2 [Source:RGD Symbol;Acc:9449876],309465
Mgat3,ENSRNOG00000017434,"mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [Source:RGD Symbol;Acc:3084]",29582
Usp20,ENSRNOG00000007710,ubiquitin specific peptidase 20 [Source:RGD Symbol;Acc:1305621],311856
Art2b,ENSRNOG00000019687,ADP-ribosyltransferase 2b [Source:RGD Symbol;Acc:3521],293152
Cluh,ENSRNOG00000002669,clustered mitochondria homolog [Source:RGD Symbol;Acc:1307222],303300
Morc4,ENSRNOG00000060846,MORC family CW-type zinc finger 4 [Source:RGD Symbol;Acc:1559905],315914
MGC95208,ENSRNOG00000000720,similar to 4930453N24Rik protein [Source:RGD Symbol;Acc:1359320],304176
AABR07029958.1,ENSRNOG00000061994,,NA
AABR07030502.1,ENSRNOG00000062230,keratin 33B [Source:NCBI gene;Acc:450227],450227
Plac9,ENSRNOG00000011263,placenta-specific 9 [Source:RGD Symbol;Acc:1306662],361105
Upf3a,ENSRNOG00000017397,"UPF3A, regulator of nonsense mediated mRNA decay [Source:RGD Symbol;Acc:1308778]",361176
Gjc1,ENSRNOG00000048838,"gap junction protein, gamma 1 [Source:RGD Symbol;Acc:628889]",266706
AC135142.1,ENSRNOG00000025480,,NA
Cuta,ENSRNOG00000000481,cutA divalent cation tolerance homolog [Source:RGD Symbol;Acc:1303306],294288
Cldn10,ENSRNOG00000010085,claudin 10 [Source:RGD Symbol;Acc:1308027],290485
LOC102554813,ENSRNOG00000058072,uncharacterized LOC102554813 [Source:RGD Symbol;Acc:7513962],NA
Gtf2i,ENSRNOG00000001479,general transcription factor II I [Source:RGD Symbol;Acc:727961],353256
AABR07040887.1,ENSRNOG00000046790,,NA
Gbe1,ENSRNOG00000051232,"glucan (1,4-alpha-), branching enzyme 1 [Source:MGI Symbol;Acc:MGI:1921435]",NA
Nptx2,ENSRNOG00000001006,neuronal pentraxin 2 [Source:RGD Symbol;Acc:1309447],288475
Trim31,ENSRNOG00000021518,tripartite motif-containing 31 [Source:RGD Symbol;Acc:1308607],294208
Mief1,ENSRNOG00000017553,mitochondrial elongation factor 1 [Source:RGD Symbol;Acc:1359173],315141
Sema4d,ENSRNOG00000013679,semaphorin 4D [Source:RGD Symbol;Acc:1310554],306790
Gnb1l,ENSRNOG00000001891,G protein subunit beta 1 like [Source:RGD Symbol;Acc:1594165],680266
AABR07058511.2,ENSRNOG00000062011,,NA
Nadk2,ENSRNOG00000054157,"NAD kinase 2, mitochondrial [Source:RGD Symbol;Acc:1306809]",365699
Anxa11,ENSRNOG00000010984,annexin A11 [Source:RGD Symbol;Acc:1309911],290527
AABR07040953.1,ENSRNOG00000051073,,NA
Stard8,ENSRNOG00000033883,StAR-related lipid transfer domain containing 8 [Source:RGD Symbol;Acc:1560770],312113
Alg13,ENSRNOG00000005753,"ALG13, UDP-N-acetylglucosaminyltransferase subunit [Source:RGD Symbol;Acc:1359416]",300284
AABR07066348.1,ENSRNOG00000062219,,NA
Barx1,ENSRNOG00000016915,BARX homeobox 1 [Source:RGD Symbol;Acc:1310884],364680
AABR07037407.1,ENSRNOG00000062226,,NA
AC122631.1,ENSRNOG00000051149,,NA
AABR07066416.2,ENSRNOG00000046104,,NA
AABR07012786.1,ENSRNOG00000051107,,NA
LOC680885,ENSRNOG00000039749,hypothetical protein LOC680885 [Source:RGD Symbol;Acc:1586999],680885
AABR07052486.1,ENSRNOG00000009382,,NA
AABR07066690.1,ENSRNOG00000053896,,NA
Mrps14,ENSRNOG00000002569,mitochondrial ribosomal protein S14 [Source:RGD Symbol;Acc:1309432],289143
LOC103690017,ENSRNOG00000009300,serine/threonine-protein kinase tousled-like 1 [Source:RGD Symbol;Acc:9355222],311118
LOC103690017,ENSRNOG00000009300,serine/threonine-protein kinase tousled-like 1 [Source:RGD Symbol;Acc:9355222],103690017
Ncl,ENSRNOG00000018273,nucleolin [Source:RGD Symbol;Acc:3153],25135
AABR07040951.1,ENSRNOG00000051136,,NA
AABR07026534.1,ENSRNOG00000050993,,NA
Cfap58,ENSRNOG00000053565,cilia and flagella associated protein 58 [Source:RGD Symbol;Acc:1307961],102553148
Pifo,ENSRNOG00000016842,primary cilia formation [Source:RGD Symbol;Acc:1586282],691223
AC136588.1,ENSRNOG00000026873,,NA
Robo2,ENSRNOG00000029598,roundabout guidance receptor 2 [Source:RGD Symbol;Acc:620167],84409
AC103101.1,ENSRNOG00000007658,,NA
Cps1,ENSRNOG00000013704,carbamoyl-phosphate synthase 1 [Source:RGD Symbol;Acc:2395],497840
AABR07039133.1,ENSRNOG00000023879,,NA
Arid1b,ENSRNOG00000017030,AT-rich interaction domain 1B [Source:RGD Symbol;Acc:708504],NA
AABR07035380.2,ENSRNOG00000062062,,NA
Syngap1,ENSRNOG00000000483,synaptic Ras GTPase activating protein 1 [Source:RGD Symbol;Acc:621090],192117
Spp1,ENSRNOG00000043451,secreted phosphoprotein 1 [Source:RGD Symbol;Acc:3752],25353
Inppl1,ENSRNOG00000019730,inositol polyphosphate phosphatase-like 1 [Source:RGD Symbol;Acc:68396],65038
LOC103689943,ENSRNOG00000002314,meiosis arrest female protein 1-like [Source:RGD Symbol;Acc:9219913],103689943
Cyp1b1,ENSRNOG00000040287,"cytochrome P450, family 1, subfamily b, polypeptide 1 [Source:RGD Symbol;Acc:2460]",25426
AABR07035380.1,ENSRNOG00000061999,,NA
Trim40,ENSRNOG00000000783,tripartite motif-containing 40 [Source:RGD Symbol;Acc:1359645],365528
AC136588.2,ENSRNOG00000030988,,NA
AABR07000046.1,ENSRNOG00000046319,,NA
Higd1b,ENSRNOG00000002814,"HIG1 hypoxia inducible domain family, member 1B [Source:RGD Symbol;Acc:1306907]",287738
Unc5cl,ENSRNOG00000046601,unc-5 family C-terminal like [Source:RGD Symbol;Acc:1587368],301225
Igsf10,ENSRNOG00000013917,"immunoglobulin superfamily, member 10 [Source:RGD Symbol;Acc:735030]",310448
AABR07035383.1,ENSRNOG00000025217,,NA
Gsto2,ENSRNOG00000049964,glutathione S-transferase omega 2 [Source:RGD Symbol;Acc:1310764],309465
Gsto2,ENSRNOG00000049964,glutathione S-transferase omega 2 [Source:RGD Symbol;Acc:1310764],103690044
Atf4,ENSRNOG00000017801,activating transcription factor 4 [Source:RGD Symbol;Acc:621863],79255
Dzip1,ENSRNOG00000010311,DAZ interacting zinc finger protein 1 [Source:RGD Symbol;Acc:1307701],364475
Itprip,ENSRNOG00000046036,"inositol 1,4,5-trisphosphate receptor interacting protein [Source:RGD Symbol;Acc:6488464]",100912218
Chat,ENSRNOG00000025012,choline O-acetyltransferase [Source:RGD Symbol;Acc:1304627],290567
AABR07037410.1,ENSRNOG00000038970,,NA
Efnb1,ENSRNOG00000006877,ephrin B1 [Source:RGD Symbol;Acc:2540],25186
Slc18a3,ENSRNOG00000062141,solute carrier family 18 member A3 [Source:RGD Symbol;Acc:62072],60422
AC108572.4,ENSRNOG00000056541,,NA
Cfap58l1,ENSRNOG00000049596,cilia and flagella associated protein 58-like 1 [Source:RGD Symbol;Acc:7656374],309467
LOC103693999,ENSRNOG00000019346,transmembrane and coiled-coil domain-containing protein 3 [Source:RGD Symbol;Acc:9333008],306607
LOC103693999,ENSRNOG00000019346,transmembrane and coiled-coil domain-containing protein 3 [Source:RGD Symbol;Acc:9333008],103693999
Fnbp1,ENSRNOG00000008258,formin binding protein 1 [Source:RGD Symbol;Acc:621350],192348
Mxi1,ENSRNOG00000034078,"MAX interactor 1, dimerization protein [Source:RGD Symbol;Acc:3128]",25701
Cep41,ENSRNOG00000010950,centrosomal protein 41 [Source:RGD Symbol;Acc:1562034],500069
Gdf6,ENSRNOG00000007810,growth differentiation factor 6 [Source:RGD Symbol;Acc:620104],252834
Lgsn,ENSRNOG00000012205,"lengsin, lens protein with glutamine synthetase domain [Source:RGD Symbol;Acc:727925]",316304
AABR07030514.2,ENSRNOG00000062281,,NA
AABR07030514.1,ENSRNOG00000062197,,NA
RGD1565131,ENSRNOG00000025212,similar to ribosomal protein L15 [Source:RGD Symbol;Acc:1565131],498143
Zbtb9,ENSRNOG00000026799,zinc finger and BTB domain containing 9 [Source:RGD Symbol;Acc:1303050],294289
Eftud2,ENSRNOG00000002818,elongation factor Tu GTP binding domain containing 2 [Source:RGD Symbol;Acc:1560116],287739
AC108572.1,ENSRNOG00000052369,,NA
Hivep2,ENSRNOG00000011015,human immunodeficiency virus type I enhancer binding protein 2 [Source:RGD Symbol;Acc:61988],29721
AABR07044364.2,ENSRNOG00000056189,,NA
Bak1,ENSRNOG00000000485,BCL2-antagonist/killer 1 [Source:RGD Symbol;Acc:621635],116502
Prr3,ENSRNOG00000025806,proline rich 3 [Source:RGD Symbol;Acc:1303270],361788
AABR07009218.1,ENSRNOG00000047587,,NA
Trim10,ENSRNOG00000000782,tripartite motif-containing 10 [Source:RGD Symbol;Acc:1359438],294210
Iars,ENSRNOG00000014616,isoleucyl-tRNA synthetase [Source:RGD Symbol;Acc:621022],306804
AABR07014290.1,ENSRNOG00000061941,,NA
AABR07012788.1,ENSRNOG00000051068,,NA
AABR07000292.1,ENSRNOG00000011399,,NA
Smndc1,ENSRNOG00000014833,survival motor neuron domain containing 1 [Source:RGD Symbol;Acc:1309151],287768
Urgcp,ENSRNOG00000012184,upregulator of cell proliferation [Source:RGD Symbol;Acc:1564681],305493
Rps19bp1,ENSRNOG00000017847,ribosomal protein S19 binding protein 1 [Source:RGD Symbol;Acc:1562823],500907
Ralyl,ENSRNOG00000011400,RALY RNA binding protein-like [Source:RGD Symbol;Acc:1305844],294883
AABR07062670.1,ENSRNOG00000015559,,NA
AABR07033236.1,ENSRNOG00000029763,,NA
Cacybp,ENSRNOG00000002572,calcyclin binding protein [Source:RGD Symbol;Acc:1303146],289144
Slc25a5,ENSRNOG00000039980,solute carrier family 25 member 5 [Source:RGD Symbol;Acc:620353],25176
Myot,ENSRNOG00000050004,myotilin [Source:RGD Symbol;Acc:1310569],100909761
Myot,ENSRNOG00000050004,myotilin [Source:RGD Symbol;Acc:1310569],100912306
Ggnbp1,ENSRNOG00000000486,gametogenetin binding protein 1 [Source:RGD Symbol;Acc:1359729],494520
Fibcd1,ENSRNOG00000009735,fibrinogen C domain containing 1 [Source:RGD Symbol;Acc:1309097],103690010
Tcp1,ENSRNOG00000014160,t-complex 1 [Source:RGD Symbol;Acc:3832],24818
AABR07047316.1,ENSRNOG00000062174,,NA
AABR07039133.2,ENSRNOG00000031517,,NA
Slc26a7,ENSRNOG00000006096,solute carrier family 26 member 7 [Source:RGD Symbol;Acc:1310846],297910
RGD1564541,ENSRNOG00000012564,similar to hypothetical protein FLJ22965 [Source:RGD Symbol;Acc:1564541],313433
Acat2l1,ENSRNOG00000013975,acetyl-CoA acetyltransferase 2-like 1 [Source:RGD Symbol;Acc:1562948],365096
AABR07004912.1,ENSRNOG00000036817,,NA
AABR07033653.1,ENSRNOG00000051106,,NA
AABR07033653.3,ENSRNOG00000051348,,NA
LOC102556347,ENSRNOG00000049911,carbonyl reductase [NADPH] 1-like [Source:RGD Symbol;Acc:7631561],102556347
Lrrc69,ENSRNOG00000006498,leucine rich repeat containing 69 [Source:RGD Symbol;Acc:1583733],500415
LOC108348130,ENSRNOG00000049693,carbonyl reductase [NADPH] 1-like [Source:RGD Symbol;Acc:11442152],29224
AABR07033653.2,ENSRNOG00000051288,,NA
AABR07039140.1,ENSRNOG00000061946,,NA
Cbr1,ENSRNOG00000047848,carbonyl reductase 1 [Source:RGD Symbol;Acc:2286],NA
Pja1,ENSRNOG00000047339,praja ring finger ubiquitin ligase 1 [Source:RGD Symbol;Acc:1591532],683077
AABR07033653.4,ENSRNOG00000056154,,NA
Afap1l2,ENSRNOG00000017164,actin filament associated protein 1-like 2 [Source:RGD Symbol;Acc:1310668],292130
Kcna3,ENSRNOG00000062002,potassium voltage-gated channel subfamily A member 3 [Source:RGD Symbol;Acc:2951],29731
Tmlhe,ENSRNOG00000000729,"trimethyllysine hydroxylase, epsilon [Source:RGD Symbol;Acc:620629]",170898
AABR07021547.1,ENSRNOG00000051100,,NA
Trim15,ENSRNOG00000031689,tripartite motif containing 15 [Source:RGD Symbol;Acc:6496746],100910806
Eif4e2,ENSRNOG00000019634,eukaryotic translation initiation factor 4E family member 2 [Source:RGD Symbol;Acc:1307790],363275
Trim26,ENSRNOG00000032930,tripartite motif-containing 26 [Source:RGD Symbol;Acc:1359126],309586
Ube2a,ENSRNOG00000039985,ubiquitin-conjugating enzyme E2A [Source:RGD Symbol;Acc:1359534],298317
Imp4,ENSRNOG00000013285,"IMP4, U3 small nucleolar ribonucleoprotein [Source:RGD Symbol;Acc:1308463]",316317
Atl2,ENSRNOG00000006523,atlastin GTPase 2 [Source:RGD Symbol;Acc:1305125],298757
AABR07035383.2,ENSRNOG00000061975,,NA
Baiap2l1,ENSRNOG00000001007,BAI1-associated protein 2-like 1 [Source:RGD Symbol;Acc:1308452],304282
Cacna1i,ENSRNOG00000060407,calcium voltage-gated channel subunit alpha1 I [Source:RGD Symbol;Acc:68944],56827
Marf1,ENSRNOG00000056248,meiosis regulator and mRNA stability factor 1 [Source:RGD Symbol;Acc:619770],170946
Nudcd3,ENSRNOG00000056148,NudC domain containing 3 [Source:RGD Symbol;Acc:1642416],100125378
NEWGENE_1562416,ENSRNOG00000002556,"TSR2, ribosome maturation factor [Source:RGD Symbol;Acc:11417743]",317418
NEWGENE_1562416,ENSRNOG00000002556,"TSR2, ribosome maturation factor [Source:RGD Symbol;Acc:11417743]",108348124
Dnajc3,ENSRNOG00000010352,DnaJ heat shock protein family (Hsp40) member C3 [Source:RGD Symbol;Acc:708518],63880
NEWGENE_735020,ENSRNOG00000046473,pyroglutamylated RFamide peptide [Source:RGD Symbol;Acc:11442301],379044
NEWGENE_735020,ENSRNOG00000046473,pyroglutamylated RFamide peptide [Source:RGD Symbol;Acc:11442301],108348071
AABR07048475.1,ENSRNOG00000047520,,NA
Zfp37,ENSRNOG00000051078,zinc finger protein 37 [Source:RGD Symbol;Acc:620723],115768
AABR07019399.1,ENSRNOG00000010144,,NA
Itpr3,ENSRNOG00000052795,"inositol 1,4,5-trisphosphate receptor, type 3 [Source:RGD Symbol;Acc:2934]",25679
AABR07009743.1,ENSRNOG00000061969,,NA
Glud1,ENSRNOG00000057367,glutamate dehydrogenase 1 [Source:RGD Symbol;Acc:2708],24399
Pgap2,ENSRNOG00000020371,post-GPI attachment to proteins 2 [Source:RGD Symbol;Acc:619744],116675
Akr1b1,ENSRNOG00000009513,aldo-keto reductase family 1 member B [Source:RGD Symbol;Acc:2092],24192
Dcun1d2,ENSRNOG00000019473,defective in cullin neddylation 1 domain containing 2 [Source:RGD Symbol;Acc:1582994],688913
Dcun1d2,ENSRNOG00000019473,defective in cullin neddylation 1 domain containing 2 [Source:RGD Symbol;Acc:1582994],103694000
AABR07039146.2,ENSRNOG00000051093,,NA
Ccdc115,ENSRNOG00000013234,coiled-coil domain containing 115 [Source:RGD Symbol;Acc:1304653],363213
AABR07068074.2,ENSRNOG00000058128,,NA
Ppial4d,ENSRNOG00000027864,peptidylprolyl isomerase A (cyclophilin A)-like 4D [Source:RGD Symbol;Acc:2321083],25518
Kcna2,ENSRNOG00000018285,potassium voltage-gated channel subfamily A member 2 [Source:RGD Symbol;Acc:2950],25468
Vta1,ENSRNOG00000011540,vesicle trafficking 1 [Source:RGD Symbol;Acc:1305031],292640
AABR07072853.2,ENSRNOG00000062211,,NA
AABR07048482.1,ENSRNOG00000033415,,NA
LOC100909750,ENSRNOG00000047356,tyrosine-protein kinase ABL1-like [Source:RGD Symbol;Acc:6502032],311860
LOC100909750,ENSRNOG00000047356,tyrosine-protein kinase ABL1-like [Source:RGD Symbol;Acc:6502032],100909750
AABR07048483.1,ENSRNOG00000051186,,NA
AC094221.3,ENSRNOG00000047164,,NA
Fam155b,ENSRNOG00000038066,"family with sequence similarity 155, member B [Source:RGD Symbol;Acc:1584125]",688841
Rhog,ENSRNOG00000020393,ras homolog family member G [Source:RGD Symbol;Acc:621310],308875
Nkrf,ENSRNOG00000061989,NFKB repressing factor [Source:RGD Symbol;Acc:6500424],100910054
AC127920.1,ENSRNOG00000008664,,NA
Itga4,ENSRNOG00000004861,integrin subunit alpha 4 [Source:RGD Symbol;Acc:1593249],311144
AC094221.1,ENSRNOG00000046312,,NA
AABR07039146.1,ENSRNOG00000003035,,NA
AABR07016975.1,ENSRNOG00000051054,,NA
Plch1,ENSRNOG00000009955,"phospholipase C, eta 1 [Source:RGD Symbol;Acc:1561991]",310463
Slc6a17,ENSRNOG00000050090,solute carrier family 6 member 17 [Source:RGD Symbol;Acc:1587185],613226
Pafah1b1,ENSRNOG00000002755,"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 [Source:RGD Symbol;Acc:620331]",83572
AABR07067401.2,ENSRNOG00000051277,,NA
AABR07067401.1,ENSRNOG00000046298,"family with sequence similarity 178, member B [Source:NCBI gene;Acc:501125]",501125
AABR07007032.1,ENSRNOG00000046333,,NA
Sema4c,ENSRNOG00000016254,semaphorin 4C [Source:RGD Symbol;Acc:1562837],301346
AABR07029963.1,ENSRNOG00000062142,SMG6 nonsense mediated mRNA decay factor [Source:NCBI gene;Acc:287522],287522
