gene_name,ensembl,description,entrezgene
CG12012,FBgn0035444,,38422
Dyrk2,FBgn0016930,Dual-specificity tyrosine phosphorylation-regulated kinase 2 [Source:FlyBase;Acc:FBgn0016930],34831
Pabp2,FBgn0005648,,35788
snoRNA:Me18S-U1356b,FBgn0082948,,NA
CG42729,FBgn0261682,,3885667
CG18731,FBgn0042213,,59246
mAChR-C,FBgn0029909,"muscarinic Acetylcholine Receptor, C-type [Source:FlyBase;Acc:FBgn0029909]",31626
CR45655,FBgn0267215,,NA
Sox102F,FBgn0039938,,43844
Sfp26Ac,FBgn0259959,Seminal fluid protein 26Ac [Source:FlyBase;Acc:FBgn0259959],8674095
CG4597,FBgn0035594,,38604
mRpS17,FBgn0034986,mitochondrial ribosomal protein S17 [Source:FlyBase;Acc:FBgn0034986],37872
PpY-55A,FBgn0003140,Protein phosphatase Y at 55A [Source:FlyBase;Acc:FBgn0003140],48532
bab2,FBgn0025525,bric a brac 2 [Source:FlyBase;Acc:FBgn0025525],44254
CG8157,FBgn0034010,,36700
sgg,FBgn0003371,shaggy [Source:FlyBase;Acc:FBgn0003371],31248
CG11811,FBgn0036099,,39213
CR45997,FBgn0267659,,NA
Rpb5,FBgn0033571,,36160
CG1137,FBgn0037454,,40803
Updo,FBgn0033428,,35986
CG7772,FBgn0030883,,32776
CR44370,FBgn0265508,,NA
CG12985,FBgn0030881,,32774
Sap-r,FBgn0000416,Saposin-related [Source:FlyBase;Acc:FBgn0000416],43662
CG18628,FBgn0036091,,39205
CG9855,FBgn0037242,,40556
ND-ASHI,FBgn0029888,NADH dehydrogenase (ubiquinone) ASHI subunit [Source:FlyBase;Acc:FBgn0029888],31604
CG13203,FBgn0033628,,36229
CR44921,FBgn0266226,,NA
CG1126,FBgn0037280,,40600
mir-2493,FBgn0262315,mir-2493 stem loop [Source:FlyBase;Acc:FBgn0262315],NA
papi,FBgn0031401,,33401
hid,FBgn0003997,head involution defective [Source:FlyBase;Acc:FBgn0003997],40009
CCT5,FBgn0010621,Chaperonin containing TCP1 subunit 5 [Source:FlyBase;Acc:FBgn0010621],36308
CR44827,FBgn0266074,,NA
CG8010,FBgn0031008,,32921
Vps50,FBgn0034271,Vacuolar protein sorting 50 [Source:FlyBase;Acc:FBgn0034271],37021
Scp2,FBgn0020907,Sarcoplasmic calcium-binding protein 2 [Source:FlyBase;Acc:FBgn0020907],42015
Syx1A,FBgn0013343,Syntaxin 1A [Source:FlyBase;Acc:FBgn0013343],42854
Fic,FBgn0263278,Fic domain-containing protein [Source:FlyBase;Acc:FBgn0263278],33897
CG31086,FBgn0051086,,43179
CR44110,FBgn0264941,,NA
CG43248,FBgn0262893,,12797910
tRNA:Tyr-GTA-1-3,FBgn0012016,transfer RNA:Tyrosine-GTA 1-3 [Source:FlyBase;Acc:FBgn0012016],NA
CG13690,FBgn0031252,,33213
ave,FBgn0050476,aveugle [Source:FlyBase;Acc:FBgn0050476],246638
CG14439,FBgn0029898,,31614
CG6614,FBgn0032369,,34583
CG13285,FBgn0035611,,38623
TfIIFalpha,FBgn0010282,Transcription factor IIFalpha [Source:FlyBase;Acc:FBgn0010282],40790
snoRNA:Me28S-G1083c,FBgn0082933,,NA
CG30291,FBgn0050291,,246534
Rab8,FBgn0262518,,40168
spz5,FBgn0035379,spatzle 5 [Source:FlyBase;Acc:FBgn0035379],38350
CG34185,FBgn0085214,,5740242
Pex19,FBgn0032407,Peroxin 19 [Source:FlyBase;Acc:FBgn0032407],34630
Cisd2,FBgn0062442,CDGSH iron sulfur domain 2 [Source:FlyBase;Acc:FBgn0062442],43459
Sfp70A4,FBgn0259970,Seminal fluid protein 70A4 [Source:FlyBase;Acc:FBgn0259970],8673995
CG1988,FBgn0037464,,40840
CR45405,FBgn0266954,,NA
CG13012,FBgn0030769,,32642
Ppat-Dpck,FBgn0035632,Bifunctional Phosphopantetheine adenylyltransferase - Dephospho-CoA kinase [Source:FlyBase;Acc:FBgn0035632],38647
Pif2,FBgn0046873,PFTAIRE-interacting factor 2 [Source:FlyBase;Acc:FBgn0046873],170876
S-Lap2,FBgn0052351,Sperm-Leucylaminopeptidase 2 [Source:FlyBase;Acc:FBgn0052351],326209
CG9500,FBgn0031804,,33888
Rbp,FBgn0262483,RIM-binding protein [Source:FlyBase;Acc:FBgn0262483],41880
CG33934,FBgn0064119,,3772159
gek,FBgn0023081,genghis khan [Source:FlyBase;Acc:FBgn0023081],37858
eIF4H1,FBgn0262734,eukaryotic translation initiation factor 4H1 [Source:FlyBase;Acc:FBgn0262734],49809
CR43716,FBgn0263869,,NA
CG4763,FBgn0034910,,37771
CG17734,FBgn0037890,,41359
Spn31A,FBgn0032178,Serpin 31A [Source:FlyBase;Acc:FBgn0032178],34339
CG33713,FBgn0064116,,3771728
Deaf1,FBgn0013799,Deformed epidermal autoregulatory factor-1 [Source:FlyBase;Acc:FBgn0013799],40164
Ada1-2,FBgn0051866,transcriptional Adaptor 1-2 [Source:FlyBase;Acc:FBgn0051866],318992
CR43696,FBgn0263834,,NA
CR45666,FBgn0267226,,NA
CG42534,FBgn0260487,,43298
CG5188,FBgn0032247,,34428
CG3008,FBgn0031643,,33693
CG17197,FBgn0039367,,43111
CG5174,FBgn0034345,,37117
CR44999,FBgn0266350,,NA
CG15107,FBgn0041702,,59128
CR44146,FBgn0264995,,NA
CR44313,FBgn0265372,,NA
RpL35A,FBgn0037328,Ribosomal protein L35A [Source:FlyBase;Acc:FBgn0037328],40654
CG7024,FBgn0029722,,31407
CG9815,FBgn0034861,,37710
5SrRNA:CR33423,FBgn0053423,,NA
CG15822,FBgn0035308,,38273
scramb1,FBgn0052056,scramblase 1 [Source:FlyBase;Acc:FBgn0052056],326186
Txl,FBgn0035631,Thioredoxin-like [Source:FlyBase;Acc:FBgn0035631],38646
CG3598,FBgn0025645,,31283
Vps36,FBgn0086785,Vacuolar protein sorting 36 [Source:FlyBase;Acc:FBgn0086785],39523
Gasz,FBgn0033273,,35795
CG43121,FBgn0262581,,12798254
ND-24L,FBgn0036706,NADH dehydrogenase (ubiquinone) 24 kDa subunit-like [Source:FlyBase;Acc:FBgn0036706],39926
Rab1,FBgn0285937,,42524
CR44164,FBgn0265049,,NA
CG11125,FBgn0033174,,35669
CG7255,FBgn0036493,,39662
Eglp2,FBgn0034883,Entomoglyceroporin 2 [Source:FlyBase;Acc:FBgn0034883],37737
CG1607,FBgn0039844,,43707
CR43247,FBgn0262892,,NA
CG2691,FBgn0030504,,32320
SAK,FBgn0026371,Sak kinase [Source:FlyBase;Acc:FBgn0026371],40384
Sin1,FBgn0033935,SAPK-interacting protein 1 [Source:FlyBase;Acc:FBgn0033935],36604
CG31475,FBgn0051475,,42303
CG3557,FBgn0031423,,33426
CR45773,FBgn0267420,,NA
CR43868,FBgn0264460,,NA
trus,FBgn0038055,toys are us [Source:FlyBase;Acc:FBgn0038055],41540
CG7810,FBgn0032017,,34139
Drep3,FBgn0028407,DNA fragmentation factor-related protein 3 [Source:FlyBase;Acc:FBgn0028407],36292
CG30412,FBgn0050412,,37691
CR43483,FBgn0263494,,NA
CG13733,FBgn0036729,,39951
tRNA:Tyr-GTA-1-2,FBgn0012017,transfer RNA:Tyrosine-GTA 1-2 [Source:FlyBase;Acc:FBgn0012017],NA
CG34293,FBgn0085322,,5740555
CG32181,FBgn0052181,,317897
tRNA:Ser-AGA-3-2,FBgn0011981,transfer RNA:Serine-AGA 3-2 [Source:FlyBase;Acc:FBgn0011981],NA
CG42364,FBgn0259710,,7354408
drd,FBgn0260006,drop dead [Source:FlyBase;Acc:FBgn0260006],318102
Pten,FBgn0026379,Phosphatase and tensin homolog [Source:FlyBase;Acc:FBgn0026379],43991
Gbs-76A,FBgn0036862,Glycogen binding subunit 76A [Source:FlyBase;Acc:FBgn0036862],40102
CG14658,FBgn0037283,,40603
Brf,FBgn0038499,,42087
pgant4,FBgn0051956,polypeptide GalNAc transferase 4 [Source:FlyBase;Acc:FBgn0051956],261610
CG8213,FBgn0033359,,35902
mura,FBgn0037705,murashka [Source:FlyBase;Acc:FBgn0037705],41145
Hex-t2,FBgn0042710,,43191
CG10702,FBgn0032752,,35181
CG18213,FBgn0038470,,42055
Swim,FBgn0034709,Secreted Wg-interacting molecule [Source:FlyBase;Acc:FBgn0034709],37537
CG2316,FBgn0039890,,43772
CR46099,FBgn0267768,,NA
CR46154,FBgn0267866,,NA
CG42661,FBgn0261537,,10178846
tRNA:Gly-GCC-1-1,FBgn0011859,transfer RNA:Glycine-GCC 1-1 [Source:FlyBase;Acc:FBgn0011859],NA
Hsepi,FBgn0033087,Heparan sulfate C5-epimerase [Source:FlyBase;Acc:FBgn0033087],35569
CG43229,FBgn0262874,,12798152
prominin-like,FBgn0026189,,38372
CG15436,FBgn0031610,,33657
Adk1,FBgn0022709,Adenylate kinase 1 [Source:FlyBase;Acc:FBgn0022709],39396
SPR,FBgn0029768,Sex peptide receptor [Source:FlyBase;Acc:FBgn0029768],31463
hpRNA:CR46343,FBgn0285993,hairpin RNA:CR46343 [Source:FlyBase;Acc:FBgn0285993],NA
RpL17,FBgn0029897,Ribosomal protein L17 [Source:FlyBase;Acc:FBgn0029897],31613
Tsp26A,FBgn0031760,Tetraspanin 26A [Source:FlyBase;Acc:FBgn0031760],33838
m-cup,FBgn0038488,mann-cup [Source:FlyBase;Acc:FBgn0038488],42076
CG2772,FBgn0031533,,33559
inaF-A,FBgn0085351,,5740676
4E-T,FBgn0052016,eIF4E-Transporter [Source:FlyBase;Acc:FBgn0052016],43836
CG14839,FBgn0038219,,41736
CG11927,FBgn0031638,,33687
2SrRNA:CR45840,FBgn0267500,2S ribosomal RNA:CR45840 [Source:FlyBase;Acc:FBgn0267500],NA
CG1571,FBgn0029993,,31725
CR43399,FBgn0263290,,NA
schlank,FBgn0040918,,50392
Or2a,FBgn0023523,Odorant receptor 2a [Source:FlyBase;Acc:FBgn0023523],31207
CG33252,FBgn0053252,,2768903
CG15306,FBgn0030191,,31961
Eig63F-2,FBgn0004911,Ecdysone-induced gene 63F 2 [Source:FlyBase;Acc:FBgn0004911],NA
Mtr3,FBgn0036916,,40173
CG5543,FBgn0034908,,37768
Rae1,FBgn0034646,,37467
CG2837,FBgn0031646,,33696
Gr66a,FBgn0035870,Gustatory receptor 66a [Source:FlyBase;Acc:FBgn0035870],38935
CG12702,FBgn0031070,,32993
Anp,FBgn0000094,Andropin [Source:FlyBase;Acc:FBgn0000094],43595
CG9072,FBgn0030614,,32443
snoRNA:Psi28S-3436b,FBgn0086602,,NA
Gagr,FBgn0036627,Gag-related [Source:FlyBase;Acc:FBgn0036627],39824
CG17994,FBgn0033072,,35550
CG43711,FBgn0263850,,14462613
Gbs-70E,FBgn0036428,Glycogen binding subunit 70E [Source:FlyBase;Acc:FBgn0036428],39588
Vinc,FBgn0004397,Vinculin [Source:FlyBase;Acc:FBgn0004397],31201
exd,FBgn0000611,extradenticle [Source:FlyBase;Acc:FBgn0000611],32567
sala,FBgn0003313,spalt-adjacent [Source:FlyBase;Acc:FBgn0003313],34570
CG42505,FBgn0260231,,8674018
CR42862,FBgn0262109,,NA
CG32641,FBgn0052641,,318136
CG32641,FBgn0052641,,318135
MED28,FBgn0039337,Mediator complex subunit 28 [Source:FlyBase;Acc:FBgn0039337],43079
CG14721,FBgn0037942,,41417
CG33278,FBgn0053278,,2768946
CG31627,FBgn0051627,,318860
CG4572,FBgn0038738,,42360
mir-1016,FBgn0262427,mir-1016 stem loop [Source:FlyBase;Acc:FBgn0262427],NA
SerRS-m,FBgn0021750,"Seryl-tRNA synthetase, mitochondrial [Source:FlyBase;Acc:FBgn0021750]",41862
His2B:CG33870,FBgn0053870,,3772276
His2B:CG33870,FBgn0053870,,3772575
His2B:CG33870,FBgn0053870,,3771809
His2B:CG33870,FBgn0053870,,3772271
His2B:CG33870,FBgn0053870,,3772099
His2B:CG33870,FBgn0053870,,3772248
His2B:CG33870,FBgn0053870,,3772081
His2B:CG33870,FBgn0053870,,3772203
His2B:CG33870,FBgn0053870,,3772058
His2B:CG33870,FBgn0053870,,3771891
His2B:CG33870,FBgn0053870,,3772336
His2B:CG33870,FBgn0053870,,3772104
His2B:CG33870,FBgn0053870,,3772013
His2B:CG33870,FBgn0053870,,3772265
His2B:CG33870,FBgn0053870,,3772299
His2B:CG33870,FBgn0053870,,3772083
His2B:CG33870,FBgn0053870,,326273
His2B:CG33870,FBgn0053870,,3771957
His2B:CG33870,FBgn0053870,,3772496
His2B:CG33870,FBgn0053870,,3772502
His2B:CG33870,FBgn0053870,,3772094
His2B:CG33870,FBgn0053870,,3772166
His2B:CG33870,FBgn0053870,,3772264
CG5334,FBgn0030577,,32402
nAChRbeta1,FBgn0000038,nicotinic Acetylcholine Receptor beta1 [Source:FlyBase;Acc:FBgn0000038],38545
CR45038,FBgn0266398,,NA
CG12822,FBgn0033229,,35737
SmydA-8,FBgn0053548,"SET and MYND domain containing, arthropod-specific, member 8 [Source:FlyBase;Acc:FBgn0053548]",31200
comm,FBgn0010105,commissureless [Source:FlyBase;Acc:FBgn0010105],39717
CG16786,FBgn0034974,,37856
Zfrp8,FBgn0021875,Zinc finger protein RP-8 [Source:FlyBase;Acc:FBgn0021875],45021
CycJ,FBgn0010317,Cyclin J [Source:FlyBase;Acc:FBgn0010317],38428
CR44683,FBgn0265894,,NA
Gr28b,FBgn0045495,Gustatory receptor 28b [Source:FlyBase;Acc:FBgn0045495],117496
Nmdmc,FBgn0010222,NAD-dependent methylenetetrahydrofolate dehydrogenase [Source:FlyBase;Acc:FBgn0010222],47895
CG11073,FBgn0034693,,37519
unc-5,FBgn0034013,,36703
snoRNA:Psi28S-1192c,FBgn0082999,,NA
Mvl,FBgn0011672,Malvolio [Source:FlyBase;Acc:FBgn0011672],42490
Gr2a,FBgn0265139,Gustatory receptor 2a [Source:FlyBase;Acc:FBgn0265139],31093
CG12853,FBgn0040747,,50220
CG13801,FBgn0035332,,38299
CG2150,FBgn0003065,,43745
Nup98-96,FBgn0039120,Nucleoporin 98-96kD [Source:FlyBase;Acc:FBgn0039120],42816
CR46022,FBgn0267686,,NA
kdn,FBgn0261955,knockdown [Source:FlyBase;Acc:FBgn0261955],31579
alpha-Est10,FBgn0015569,alpha-Esterase-10 [Source:FlyBase;Acc:FBgn0015569],40896
Cyp49a1,FBgn0033524,,36105
CG8728,FBgn0033235,,35748
CR43417,FBgn0263336,,NA
CG5853,FBgn0032167,,34322
CR46254,FBgn0267987,,NA
su(r),FBgn0086450,suppressor of rudimentary [Source:FlyBase;Acc:FBgn0086450],31858
5-HT7,FBgn0004573,5-hydroxytryptamine (serotonin) receptor 7 [Source:FlyBase;Acc:FBgn0004573],43669
CG6330,FBgn0039464,,43240
CG31910,FBgn0051910,,319021
CG12438,FBgn0032065,,34202
Gclc,FBgn0040319,Glutamate-cysteine ligase catalytic subunit [Source:FlyBase;Acc:FBgn0040319],53581
eIF5B,FBgn0026259,eukaryotic translation initiation factor 5B [Source:FlyBase;Acc:FBgn0026259],44261
CG5290,FBgn0036772,,39998
Ste:CG33243,FBgn0053243,,2768897
CG11581,FBgn0030540,,32362
CG17493,FBgn0040010,,3355126
CG42564,FBgn0260766,,40788
CG11630,FBgn0032964,,35429
Ku80,FBgn0041627,,34930
Spn55B,FBgn0028983,Serpin 55B [Source:FlyBase;Acc:FBgn0028983],49803
Prosbeta1,FBgn0010590,Proteasome beta1 subunit [Source:FlyBase;Acc:FBgn0010590],46058
CG13308,FBgn0035932,,39011
Rbcn-3B,FBgn0023510,Rabconnectin-3B [Source:FlyBase;Acc:FBgn0023510],31155
Cad88C,FBgn0038247,Cadherin 88C [Source:FlyBase;Acc:FBgn0038247],41774
CG32085,FBgn0052085,,39311
CR45395,FBgn0266944,,NA
Irp-1B,FBgn0024957,Iron regulatory protein 1B [Source:FlyBase;Acc:FBgn0024957],41269
mir-9385,FBgn0283557,mir-9385 stem loop [Source:FlyBase;Acc:FBgn0283557],NA
grk,FBgn0001137,gurken [Source:FlyBase;Acc:FBgn0001137],34171
Pfdn6,FBgn0036918,Prefoldin 6 [Source:FlyBase;Acc:FBgn0036918],40176
CR43411,FBgn0263330,,NA
CG7381,FBgn0038098,,41589
Or47b,FBgn0026385,Odorant receptor 47b [Source:FlyBase;Acc:FBgn0026385],36212
REG,FBgn0029133,,32274
RpS13,FBgn0010265,Ribosomal protein S13 [Source:FlyBase;Acc:FBgn0010265],34149
CG31636,FBgn0051636,,318865
CG7840,FBgn0032014,,34136
CR44427,FBgn0265609,,NA
CG17549,FBgn0032774,,35212
CG4101,FBgn0025558,,39857
CR46162,FBgn0267874,,NA
CG5273,FBgn0040382,,31021
CdsA,FBgn0010350,CDP diglyceride synthetase [Source:FlyBase;Acc:FBgn0010350],43950
CG6621,FBgn0037855,,41319
cana,FBgn0040233,CENP-ana [Source:FlyBase;Acc:FBgn0040233],3771934
Gp150,FBgn0013272,,37549
CG4210,FBgn0038302,,41832
CG8353,FBgn0032002,,34123
CR44558,FBgn0265751,,NA
LeuRS,FBgn0284253,Leucyl-tRNA synthetase [Source:FlyBase;Acc:FBgn0284253],326262
CG11897,FBgn0039644,,43450
CecA2,FBgn0000277,Cecropin A2 [Source:FlyBase;Acc:FBgn0000277],43596
CecA2,FBgn0000277,Cecropin A2 [Source:FlyBase;Acc:FBgn0000277],43597
d,FBgn0262029,dachs [Source:FlyBase;Acc:FBgn0262029],34179
CG17209,FBgn0030687,,32524
mir-4975,FBgn0263518,mir-4975 stem loop [Source:FlyBase;Acc:FBgn0263518],NA
CR44785,FBgn0266020,,NA
unc-4,FBgn0024184,,32757
CR44857,FBgn0266151,,NA
AspRS,FBgn0002069,Aspartyl-tRNA synthetase [Source:FlyBase;Acc:FBgn0002069],36420
CG16791,FBgn0038881,,42531
CG14490,FBgn0034281,,37041
hth,FBgn0001235,homothorax [Source:FlyBase;Acc:FBgn0001235],41273
Nup50,FBgn0033264,Nucleoporin 50kD [Source:FlyBase;Acc:FBgn0033264],35784
CG42570,FBgn0260776,,8674011
CR18275,FBgn0029523,,NA
Bap170,FBgn0042085,Brahma associated protein 170kD [Source:FlyBase;Acc:FBgn0042085],35560
CG30178,FBgn0050178,,246501
wls,FBgn0036141,wntless [Source:FlyBase;Acc:FBgn0036141],39259
CG18765,FBgn0042110,,59149
CG34028,FBgn0054028,,3885648
CG9568,FBgn0032087,,34227
mir-1015,FBgn0262457,mir-1015 stem loop [Source:FlyBase;Acc:FBgn0262457],NA
PpN58A,FBgn0025573,Protein phosphatase N at 58A [Source:FlyBase;Acc:FBgn0025573],37493
CG17982,FBgn0030006,,31739
hpRNA:CR32205,FBgn0052205,hairpin RNA:CR32205 [Source:FlyBase;Acc:FBgn0052205],NA
asrij,FBgn0034793,,37637
eIF3f1,FBgn0037270,eukaryotic translation initiation factor 3 subunit f1 [Source:FlyBase;Acc:FBgn0037270],40587
Drsl4,FBgn0052282,Drosomycin-like 4 [Source:FlyBase;Acc:FBgn0052282],317954
CG8420,FBgn0037664,,41097
CG16753,FBgn0035393,,38365
Mocs1,FBgn0263241,Molybdenum cofactor synthesis 1 [Source:FlyBase;Acc:FBgn0263241],39238
Atg18b,FBgn0032935,Autophagy-related 18b [Source:FlyBase;Acc:FBgn0032935],35396
GstE6,FBgn0063494,Glutathione S transferase E6 [Source:FlyBase;Acc:FBgn0063494],37111
klhl10,FBgn0040038,kelch like family member 10 [Source:FlyBase;Acc:FBgn0040038],3354863
CR46169,FBgn0267881,,NA
apt,FBgn0015903,apontic [Source:FlyBase;Acc:FBgn0015903],37734
ste24a,FBgn0034176,prenyl protease type I [Source:FlyBase;Acc:FBgn0034176],36908
tRNA:Arg-TCT-1-1,FBgn0050254,transfer RNA:Arginine-TCT 1-1 [Source:FlyBase;Acc:FBgn0050254],NA
l(3)76BDm,FBgn0260655,lethal (3) 76BDm [Source:FlyBase;Acc:FBgn0260655],40140
Ir60d,FBgn0259187,Ionotropic receptor 60d [Source:FlyBase;Acc:FBgn0259187],7354402
CR43735,FBgn0263992,,NA
CG15080,FBgn0034391,,37167
CG33791,FBgn0035240,,317974
Blos1,FBgn0050077,"Biogenesis of lysosome-related organelles complex 1, subunit 1 [Source:FlyBase;Acc:FBgn0050077]",246439
CR43977,FBgn0264708,,NA
CG30392,FBgn0050392,,246587
sick,FBgn0263873,sickie [Source:FlyBase;Acc:FBgn0263873],35277
CR44775,FBgn0266001,,NA
rin,FBgn0015778,rasputin [Source:FlyBase;Acc:FBgn0015778],47998
CG10170,FBgn0039085,,42774
sl,FBgn0003416,small wing [Source:FlyBase;Acc:FBgn0003416],32601
CG34207,FBgn0085236,,5740143
CG43759,FBgn0264090,,32889
ctp,FBgn0011760,cut up [Source:FlyBase;Acc:FBgn0011760],31405
Unc-115a,FBgn0051352,Uncoordinated 115a [Source:FlyBase;Acc:FBgn0051352],261629
CG10486,FBgn0035647,,38664
Mkrn1,FBgn0029152,Makorin 1 [Source:FlyBase;Acc:FBgn0029152],44131
CR45371,FBgn0266911,,NA
CG34312,FBgn0085341,,5740793
Diap2,FBgn0015247,Death-associated inhibitor of apoptosis 2 [Source:FlyBase;Acc:FBgn0015247],36748
CG14052,FBgn0029606,,31203
Cpr65Av,FBgn0052405,Cuticular protein 65Av [Source:FlyBase;Acc:FBgn0052405],318014
CG11425,FBgn0037167,,40472
CR45873,FBgn0267533,,NA
CG11878,FBgn0039310,,43050
CG15369,FBgn0030105,,31862
Prosbeta3,FBgn0026380,Proteasome beta3 subunit [Source:FlyBase;Acc:FBgn0026380],41079
tRNA:Gly-TCC-1-2,FBgn0051491,transfer RNA:Glycine-TCC 1-2 [Source:FlyBase;Acc:FBgn0051491],NA
CG10417,FBgn0033021,,35492
CG17906,FBgn0032086,,34224
CG42322,FBgn0259222,,42455
TfIIA-S-2,FBgn0040338,,31048
CG33137,FBgn0053137,,36449
CG13449,FBgn0036520,,39695
CG14749,FBgn0033316,,35849
CG32152,FBgn0052152,,317885
CR43833,FBgn0264381,,NA
CR44339,FBgn0265427,,NA
CG1513,FBgn0033463,,36028
TwdlR,FBgn0051081,TweedleR [Source:FlyBase;Acc:FBgn0051081],318586
mt:lrRNA,FBgn0013686,mitochondrial large ribosomal RNA [Source:FlyBase;Acc:FBgn0013686],NA
Ccp84Ad,FBgn0004780,,40822
Sirt1,FBgn0024291,Sirtuin 1 [Source:FlyBase;Acc:FBgn0024291],34708
CG34305,FBgn0085334,,5740825
CG12128,FBgn0033473,,36042
CR45045,FBgn0266405,,NA
slgA,FBgn0003423,sluggish A [Source:FlyBase;Acc:FBgn0003423],33117
CG1674,FBgn0039897,,43780
Schip1,FBgn0032221,Schwannomin interacting protein 1 [Source:FlyBase;Acc:FBgn0032221],34393
Scamp,FBgn0040285,,32470
CG18469,FBgn0034206,,36943
Ir60e,FBgn0035019,Ionotropic receptor 60e [Source:FlyBase;Acc:FBgn0035019],37917
CG33689,FBgn0053689,,3771798
CG31431,FBgn0051431,,326138
CR43356,FBgn0263088,,NA
CG10527,FBgn0034583,,37393
dao,FBgn0028862,down and out [Source:FlyBase;Acc:FBgn0028862],34891
Octbeta3R,FBgn0250910,Octopamine beta3 receptor [Source:FlyBase;Acc:FBgn0250910],3885573
CR44420,FBgn0265593,,NA
CR45010,FBgn0266362,,NA
CG31730,FBgn0051730,,318920
CG10053,FBgn0037490,,40871
CR43950,FBgn0264601,,NA
CG13653,FBgn0039288,,43025
CR43670,FBgn0263745,,NA
CG42798,FBgn0261932,,10178954
Gp210,FBgn0266580,Glycoprotein 210 kDa [Source:FlyBase;Acc:FBgn0266580],35512
CG13759,FBgn0040376,,31236
Taz,FBgn0026619,Tafazzin [Source:FlyBase;Acc:FBgn0026619],36405
CR44450,FBgn0265643,,NA
CR45445,FBgn0266994,,NA
CG32295,FBgn0260480,,317962
Sec63,FBgn0035771,Secretory 63 [Source:FlyBase;Acc:FBgn0035771],38819
CG11983,FBgn0037654,,41081
Rab27,FBgn0025382,,31103
5.8SrRNA-Psi:CR45857,FBgn0267517,5.8S ribosomal RNA pseudogene:CR45857 [Source:FlyBase;Acc:FBgn0267517],NA
CR43991,FBgn0264723,,NA
RhoGDI,FBgn0036921,,40179
Cypl,FBgn0035141,Cyclophilin-like [Source:FlyBase;Acc:FBgn0035141],38069
CR45957,FBgn0267619,,NA
CR32194,FBgn0052194,,NA
mRpS14,FBgn0044030,mitochondrial ribosomal protein S14 [Source:FlyBase;Acc:FBgn0044030],117414
CR45188,FBgn0266698,,NA
CG12986,FBgn0030868,,32759
CR45209,FBgn0266736,,NA
TrpRS-m,FBgn0036763,"Tryptophanyl-tRNA synthetase, mitochondrial [Source:FlyBase;Acc:FBgn0036763]",39989
CG30496,FBgn0050496,,246652
CG5521,FBgn0039466,,43242
CR43263,FBgn0262944,,NA
Sin,FBgn0028402,Sex-lethal interactor [Source:FlyBase;Acc:FBgn0028402],40325
loj,FBgn0061492,logjam [Source:FlyBase;Acc:FBgn0061492],38698
CG44102,FBgn0264911,,14462537
Pxd,FBgn0004577,Peroxidase [Source:FlyBase;Acc:FBgn0004577],2768671
CG13457,FBgn0036482,,39649
Liprin-alpha,FBgn0046704,,249072
CG32388,FBgn0250849,,192611
CG2604,FBgn0037298,,40623
CG14007,FBgn0031731,,33799
CG10166,FBgn0032799,,35240
