gene_name,ensembl,description,entrezgene
KRP4,AT2G32710,Cyclin-dependent kinase inhibitor 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8GYJ3],817831
RECQSIM,AT5G27680,ATP-dependent DNA helicase Q-like SIM [Source:UniProtKB/Swiss-Prot;Acc:Q9FT69],832830
,AT4G19380,Long-chain fatty alcohol dehydrogenase family protein [Source:TAIR;Acc:AT4G19380],827679
ML1,AT5G61960,Protein MEI2-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8W4I9],836317
RHS16,AT4G29180,RHS16 [Source:UniProtKB/TrEMBL;Acc:A0A178V2M3],829039
RPS23A,AT3G09680,40S ribosomal protein S23-1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SF35],820125
,AT1G56233,Defensin-like protein 81 [Source:UniProtKB/Swiss-Prot;Acc:Q2V4G6],3767465
ABCG35,AT1G15210,PDR7 [Source:UniProtKB/TrEMBL;Acc:A0A178WAD4],838087
SCPL40,AT3G63470,Serine carboxypeptidase-like 40 [Source:UniProtKB/Swiss-Prot;Acc:Q0WRX3],825522
MEE15,AT2G16970,Major facilitator superfamily protein [Source:TAIR;Acc:AT2G16970],816200
RPL37A,AT1G15250,60S ribosomal protein L37-1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LFH7],838092
,AT1G79700,Integrase-type DNA-binding superfamily protein [Source:UniProtKB/TrEMBL;Acc:A8MQS2],844309
,AT2G46620,AAA-ATPase At2g46620 [Source:UniProtKB/Swiss-Prot;Acc:F4IJ77],819274
,AT3G46920,Kinase superfamily with octicosapeptide/Phox/Bem1p domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LN82],823845
OASB,AT2G43750,Cysteine synthase [Source:UniProtKB/TrEMBL;Acc:Q0WW95],818978
,AT1G62895,,28717389
RPA2A,AT2G24490,RPA32A [Source:UniProtKB/TrEMBL;Acc:A0A178VTA7],816985
NRPE5A,AT3G57080,DNA-directed RNA polymerase V subunit 5A [Source:UniProtKB/Swiss-Prot;Acc:Q9M1J2],824875
,AT3G13820,F-box protein At3g13820 [Source:UniProtKB/Swiss-Prot;Acc:Q9LRW6],820594
AtRLP19,AT2G15080,Receptor-like protein 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUK3],815997
HDG11,AT1G73360,Homeobox-leucine zipper protein HDG11 [Source:UniProtKB/Swiss-Prot;Acc:Q9FX31],843671
,AT1G16360,LEM3 (ligand-effect modulator 3) family protein / CDC50 family protein [Source:TAIR;Acc:AT1G16360],838205
,AT1G10225,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q56YG0],837561
,AT3G49770,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q5Q0C6],824139
REM7,AT4G31660,B3 domain-containing protein REM7 [Source:UniProtKB/Swiss-Prot;Acc:Q8H2D0],829294
VTI12,AT1G26670,VTI1B [Source:UniProtKB/TrEMBL;Acc:A0A178W140],839208
,AT1G34855,,28717304
PCR8,AT1G52200,Protein PLANT CADMIUM RESISTANCE 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9M815],841650
VIM5,AT1G57800,zinc finger (C3HC4-type RING finger) family protein [Source:TAIR;Acc:AT1G57800],842155
CRK12,AT4G23200,cysteine-rich RLK (RECEPTOR-like protein kinase) 12 [Source:TAIR;Acc:AT4G23200],828419
,AT1G69460,Transmembrane emp24 domain-containing protein p24delta10 [Source:UniProtKB/Swiss-Prot;Acc:Q8VY92],843278
ERS2,AT1G04310,Ethylene response sensor 2 [Source:UniProtKB/Swiss-Prot;Acc:P93825],839549
ACA7,AT1G08080,Alpha carbonic anhydrase 7 [Source:UniProtKB/Swiss-Prot;Acc:Q8L817],837326
FHY1,AT2G37678,Protein FAR-RED ELONGATED HYPOCOTYL 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8S4Q6],5007942
CYP19-3,AT3G56070,Peptidyl-prolyl cis-trans isomerase CYP19-3 [Source:UniProtKB/Swiss-Prot;Acc:Q38867],824773
,AT5G15420,Uncharacterized protein T20K14_30 [Source:UniProtKB/TrEMBL;Acc:Q9LF40],831394
SPH27,AT5G06020,S-protein homolog 27 [Source:UniProtKB/Swiss-Prot;Acc:Q9FI84],830489
,AT3G15251,unknown protein; Ha. [Source:TAIR;Acc:AT3G15251],6240708
,AT1G75550,glycine-rich protein [Source:TAIR;Acc:AT1G75550],843891
SUC5,AT1G71890,Sucrose transport protein SUC5 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8X2],843520
,AT1G05430,Uncharacterized protein At1g05430 [Source:UniProtKB/TrEMBL;Acc:Q8LC42],837044
ATMKK2,AT4G29810,MAP kinase kinase 2 [Source:TAIR;Acc:AT4G29810],829103
IPP2,AT3G02780,"Isopentenyl-diphosphate Delta-isomerase II, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42553]",820960
CBL7,AT4G26560,Calcineurin B-like protein 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9SUA6],828763
,AT1G80870,Putative receptor-like protein kinase At1g80870 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAH3],844427
,AT4G23670,AT4G23670 protein [Source:UniProtKB/TrEMBL;Acc:Q9SUR0],828467
ABIL1,AT2G46225,ABI-1-like 1 [Source:UniProtKB/TrEMBL;Acc:B3H5V3],819230
,AT5G18730,"CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609); BEST Arabidopsis thaliana protein match is: Domain of unknown function (DUF3444) (TAIR:AT5G18740.1); Ha. [Source:TAIR;Acc:AT5G18730]",831991
DG1,AT5G67570,"Pentatricopeptide repeat-containing protein At5g67570, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9FJW6]",836893
AUL1,AT1G75310,auxin-like 1 protein [Source:TAIR;Acc:AT1G75310],843868
,AT5G29054,unknown protein; Ha. [Source:TAIR;Acc:AT5G29054],6241292
,AT2G27700,Eukaryotic translation initiation factor 2 family protein / eIF-2 family protein [Source:UniProtKB/TrEMBL;Acc:F4IGQ9],817316
SEC1A,AT1G02010,secretory 1A [Source:TAIR;Acc:AT1G02010],839288
FPP6,AT1G47900,Filament-like plant protein 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9C698],841207
,AT5G57625,At5g57625 [Source:UniProtKB/TrEMBL;Acc:Q9FKL1],835867
,AT4G02725,At4g02725 [Source:UniProtKB/TrEMBL;Acc:Q6DBF6],2745608
,AT1G14315,F-box and associated interaction domains-containing protein [Source:UniProtKB/TrEMBL;Acc:F4HUI9],6241224
,AT5G66440,tRNA-methyltransferase non-catalytic subunit trm6MTase subunit [Source:UniProtKB/TrEMBL;Acc:Q9FJZ5],836776
CLC-E,AT4G35440,Chloride channel protein [Source:UniProtKB/TrEMBL;Acc:F4JN11],829696
,AT3G52460,Hydroxyproline-rich glycoprotein family protein [Source:UniProtKB/TrEMBL;Acc:Q9SVC7],824411
,AT4G26240,Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q8RXC0],828730
UBC14,AT3G55380,Ubiquitin-conjugating enzyme 14 [Source:UniProtKB/TrEMBL;Acc:F4IWU7],824704
,AT2G16953,Transportin (Fragment) [Source:UniProtKB/TrEMBL;Acc:A0A1P8AX06],28718281
,AT2G22320,Uncharacterized protein At2g22320 [Source:UniProtKB/TrEMBL;Acc:Q9SID6],816764
ATXR1,AT1G26760,SET domain protein 35 [Source:UniProtKB/TrEMBL;Acc:F4HPB8],839217
PER2,AT1G05250,Peroxidase 1 [Source:UniProtKB/Swiss-Prot;Acc:P0DI10],838206
PER2,AT1G05250,Peroxidase 1 [Source:UniProtKB/Swiss-Prot;Acc:P0DI10],839237
FAR8,AT3G44560,Fatty acyl-CoA reductase 8 [Source:UniProtKB/Swiss-Prot;Acc:Q1PEI6],823581
TCP1,AT1G67260,Transcription factor TCP1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FYG7],3767658
CYP82C3,AT4G31950,CYP82C3 [Source:UniProtKB/TrEMBL;Acc:A0A178UT04],829325
,AT5G51680,Hydroxyproline-rich glycoprotein family protein [Source:UniProtKB/TrEMBL;Acc:F4KDC4],835242
SKIP8,AT4G10925,F-box protein SKIP8 [Source:UniProtKB/Swiss-Prot;Acc:Q93YV9],826691
,AT3G56520,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9LXY8],824819
,AT1G24575,At1g24575 [Source:UniProtKB/TrEMBL;Acc:Q8LAL6],839072
,AT4G31690,Transcriptional factor B3 family protein [Source:TAIR;Acc:AT4G31690],829297
PTD,AT1G12790,Protein PARTING DANCERS [Source:UniProtKB/Swiss-Prot;Acc:F4IDW9],837835
SQS1,AT4G34640,Squalene synthase 1 [Source:UniProtKB/Swiss-Prot;Acc:P53799],829616
,AT4G03340,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein [Source:UniProtKB/TrEMBL;Acc:Q9ZQZ7]",827969
WRKY44,AT2G37260,WRKY transcription factor 44 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUU0],818303
BAD1,AT5G54610,Ankyrin repeat-containing protein BDA1 [Source:UniProtKB/Swiss-Prot;Acc:Q8GYH5],835550
,AT3G27970,At3g27970 [Source:UniProtKB/TrEMBL;Acc:B3LFC1],822421
,AT4G13550,triglyceride lipases;triglyceride lipases [Source:TAIR;Acc:AT4G13550],826988
,AT1G04850,F13M7.16 protein [Source:UniProtKB/TrEMBL;Acc:Q9MAT3],839399
,AT5G20560,Glycosyl hydrolase superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q4PSF2],832178
GPK1,AT3G17420,Probable receptor-like protein kinase At3g17420 [Source:UniProtKB/Swiss-Prot;Acc:Q9LRP3],821006
,AT3G08780,AT3g08780/F17O14_25 [Source:UniProtKB/TrEMBL;Acc:Q8RY09],820025
,AT1G31760,At1g31760 [Source:UniProtKB/TrEMBL;Acc:Q9C504],840063
OFUT39,AT5G65470,O-fucosyltransferase 39 [Source:UniProtKB/Swiss-Prot;Acc:Q0WUZ5],836672
,AT1G33250,"Beta-1,3-n-acetylglucosaminyltransferase radical fringe protein, putative (DUF604) [Source:UniProtKB/TrEMBL;Acc:Q9C881]",840219
SSL11,AT1G74000,Protein STRICTOSIDINE SYNTHASE-LIKE 11 [Source:UniProtKB/Swiss-Prot;Acc:P92976],843738
ROPGEF6,AT3G55660,Rop guanine nucleotide exchange factor 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9M056],824732
,AT4G15562,Superoxide dismutase 1 copper chaperone-like protein [Source:UniProtKB/TrEMBL;Acc:A0A1P8B3H9],28720132
,AT3G48480,Cysteine proteinases superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JF18],824007
,AT5G66420,AT5G66420 protein [Source:UniProtKB/TrEMBL;Acc:Q9FJZ7],836774
,AT3G02740,Eukaryotic aspartyl protease family protein [Source:UniProtKB/TrEMBL;Acc:Q9M8R6],821256
SCL18,AT1G55580,SCL18 [Source:UniProtKB/TrEMBL;Acc:A0A178WEV4],842007
FLZ17,AT1G53903,FCS-Like Zinc finger 18 [Source:UniProtKB/Swiss-Prot;Acc:P0DO12],841826
FLZ17,AT1G53903,FCS-Like Zinc finger 18 [Source:UniProtKB/Swiss-Prot;Acc:P0DO12],6241094
CYP63,AT3G63400,Peptidyl-prolyl cis-trans isomerase CYP63 [Source:UniProtKB/Swiss-Prot;Acc:Q9LY75],825515
JAL3,AT1G19715,Jacalin-related lectin 3 [Source:UniProtKB/Swiss-Prot;Acc:F4HQX1],838560
,AT5G62750,At5g62750 [Source:UniProtKB/TrEMBL;Acc:Q9FM18],836396
,AT2G04031,Prolamin-like protein (DUF784) [Source:UniProtKB/TrEMBL;Acc:A7REG6],5007867
HIPP32,AT3G06130,Heavy metal-associated isoprenylated plant protein 32 [Source:UniProtKB/Swiss-Prot;Acc:Q9M8K5],819786
,AT5G50000,Protein kinase superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9FGB1],835064
,AT1G69430,Son of sevenless protein [Source:UniProtKB/TrEMBL;Acc:Q9C794],843275
,AT1G53340,Cysteine/Histidine-rich C1 domain family protein [Source:TAIR;Acc:AT1G53340],841769
RPS2,ATCG00160,"30S ribosomal protein S2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P56797]",844786
AtRLP33,AT3G05660,Receptor-like protein 33 [Source:UniProtKB/Swiss-Prot;Acc:F4J8G2],819733
PLT2,AT2G16130,Putative polyol transporter 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIH6],816110
,AT5G63820,UPF0725 protein At5g63820 [Source:UniProtKB/Swiss-Prot;Acc:Q9FN07],836502
,AT3G17140,Plant invertase/pectin methylesterase inhibitor superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4J405],820971
,AT3G24110,Calcium-binding EF-hand family protein [Source:TAIR;Acc:AT3G24110],821997
,AT1G29890,O-acetyltransferase family protein [Source:TAIR;Acc:AT1G29890],839867
ATL64,AT2G47560,RING-H2 finger protein ATL64 [Source:UniProtKB/Swiss-Prot;Acc:O22255],819369
NPGR2,AT4G28600,no pollen germination related 2 [Source:TAIR;Acc:AT4G28600],828978
,AT1G80290,Nucleotide-diphospho-sugar transferases superfamily protein [Source:TAIR;Acc:AT1G80290],844369
,AT1G56540,Disease resistance protein (TIR-NBS-LRR class) family [Source:UniProtKB/TrEMBL;Acc:Q9FXA6],842107
NAKR2,AT2G37390,Protein SODIUM POTASSIUM ROOT DEFECTIVE 2 [Source:UniProtKB/Swiss-Prot;Acc:Q58FZ0],818315
OPR3,AT2G06050,12-oxophytodienoate reductase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FUP0],815160
,AT3G20920,Translocation protein-like protein [Source:UniProtKB/TrEMBL;Acc:Q9LIH2],821641
GGCT2;1,AT5G26220,Gamma-glutamylcyclotransferase 2-1 [Source:UniProtKB/Swiss-Prot;Acc:Q8GY54],832691
,AT3G54830,,NA
,AT3G09190,Concanavalin A-like lectin family protein [Source:UniProtKB/TrEMBL;Acc:F4IZV1],3768781
,AT3G05545,RING finger family protein [Source:UniProtKB/TrEMBL;Acc:Q84WW4],819720
,AT1G48650,DEA(D/H)-box RNA helicase family protein [Source:UniProtKB/TrEMBL;Acc:F4HYJ6],841287
,AT4G27400,Late embryogenesis abundant (LEA) protein-like protein [Source:UniProtKB/TrEMBL;Acc:O81843],828848
,AT2G35250,"NEP-interacting protein, putative (DUF239) [Source:UniProtKB/TrEMBL;Acc:O82168]",818092
CRLK2,AT5G15730,Calcium/calmodulin-regulated receptor-like kinase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LFV3],831429
RMR3,AT1G22670,"Receptor homology region, transmembrane domain- and RING domain-containing protein 3 [Source:UniProtKB/Swiss-Prot;Acc:F4I2Y3]",838873
,AT1G07030,At1g07030 [Source:UniProtKB/TrEMBL;Acc:Q8L6Z2],837214
APO3,AT5G61930,"APO protein 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9FH50]",836314
GH3.5,AT4G27260,Indole-3-acetic acid-amido synthetase GH3.5 [Source:UniProtKB/Swiss-Prot;Acc:O81829],828834
NPF2.14,AT1G69860,Putative protein NRT1/ PTR FAMILY 2.14 [Source:UniProtKB/Swiss-Prot;Acc:Q9CAR9],843322
BHLH74,AT1G10120,Transcription factor bHLH74 [Source:UniProtKB/Swiss-Prot;Acc:Q6NKN9],837549
,AT5G08760,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Ha. [Source:TAIR;Acc:AT5G08760],5008204
PER23,AT2G38390,Peroxidase 23 [Source:UniProtKB/Swiss-Prot;Acc:O80912],818420
,AT1G43650,WAT1-related protein At1g43650 [Source:UniProtKB/Swiss-Prot;Acc:Q6NMB7],840949
,AT3G26470,"Powdery mildew resistance protein, RPW8 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q9LIM8]",822252
SUC4,AT1G09960,Sucrose transport protein SUC4 [Source:UniProtKB/Swiss-Prot;Acc:Q9FE59],837530
VIIIB,AT4G27370,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:TAIR;Acc:AT4G27370],828845
,AT2G25250,At2g25250 [Source:UniProtKB/TrEMBL;Acc:Q9SIR8],817063
,AT5G42110,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q8GW66],834216
,AT1G51990,F5F19.5 protein [Source:UniProtKB/TrEMBL;Acc:Q9ZU24],841628
TET12,AT5G23030,Tetraspanin-12 [Source:UniProtKB/Swiss-Prot;Acc:Q9FN51],832367
,AT3G51100,Altered inheritance of mitochondria protein [Source:UniProtKB/TrEMBL;Acc:Q9SD36],824274
,AT3G29580,MATH domain and coiled-coil domain-containing protein At3g29580 [Source:UniProtKB/Swiss-Prot;Acc:Q9LJB5],822622
,AT3G28370,Spindle assembly checkpoint component [Source:UniProtKB/TrEMBL;Acc:A0A1I9LPY5],822466
,AT2G15710,TRAF-like family protein [Source:UniProtKB/TrEMBL;Acc:Q9ZQE3],816065
DIN10,AT5G20250,Raffinose synthase family protein [Source:UniProtKB/TrEMBL;Acc:F4K470],832147
FHY,AT4G21470,FMN/FHY [Source:UniProtKB/TrEMBL;Acc:A0A178V341],828232
,AT4G05220,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [Source:UniProtKB/TrEMBL;Acc:Q9M0X3],825870
,AT4G04730,Putative zinc finger protein [Source:UniProtKB/TrEMBL;Acc:Q9M102],825808
,AT2G33520,At2g33520 [Source:UniProtKB/TrEMBL;Acc:O22802],817917
,AT1G53625,At1g53625 [Source:UniProtKB/TrEMBL;Acc:Q9LPH9],841798
,AT1G63360,Probable disease resistance protein At1g63360 [Source:UniProtKB/Swiss-Prot;Acc:Q9SH22],842642
,AT1G33330,Class I peptide chain release factor [Source:UniProtKB/TrEMBL;Acc:Q9C875],840227
,AT3G26840,"Acyltransferase-like protein At3g26840, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LW26]",822299
,AT1G74929,unknown protein; Ha. [Source:TAIR;Acc:AT1G74929],6240887
,AT3G29010,Biotin/lipoate A/B protein ligase family [Source:UniProtKB/TrEMBL;Acc:Q9MBG4],822541
SCPL7,AT3G10450,SCPL7 [Source:UniProtKB/TrEMBL;Acc:A0A178VAE4],820209
,AT4G12485,,NA
,AT4G34800,SAUR-like auxin-responsive protein family [Source:UniProtKB/TrEMBL;Acc:Q9SW54],28720205
,AT4G28340,Pyrroline-5-carboxylate reductase [Source:UniProtKB/TrEMBL;Acc:O49443],828949
,AT1G63430,Leucine-rich repeat protein kinase family protein [Source:UniProtKB/TrEMBL;Acc:F4I233],842649
,AT3G14510,Polyprenyl synthetase family protein [Source:TAIR;Acc:AT3G14510],NA
,AT1G80720,Mitochondrial glycoprotein family protein [Source:TAIR;Acc:AT1G80720],844411
CMT3,AT1G69770,DNA (cytosine-5)-methyltransferase CMT3 [Source:UniProtKB/Swiss-Prot;Acc:Q94F88],843313
HDA8,AT1G08460,Histone deacetylase 8 [Source:UniProtKB/Swiss-Prot;Acc:Q94EJ2],837366
TBL42,AT1G78710,Protein trichome birefringence-like 42 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZV89],844207
,AT4G03820,Protein of unknown function (DUF3537) [Source:TAIR;Acc:AT4G03820],825687
AIG2A,AT3G28930,Protein AIG2 A [Source:UniProtKB/Swiss-Prot;Acc:P54121],822529
CBSCBSPB3,AT3G52950,CBS domain-containing protein CBSCBSPB3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LF97],824461
ERECTA,AT2G26330,LRR receptor-like serine/threonine-protein kinase ERECTA [Source:UniProtKB/Swiss-Prot;Acc:Q42371],817173
,AT1G08610,Pentatricopeptide repeat-containing protein At1g08610 [Source:UniProtKB/Swiss-Prot;Acc:Q9FRS4],837383
,AT3G57620,Glyoxal oxidase-related protein [Source:UniProtKB/TrEMBL;Acc:Q9SVX6],824931
TCP17,AT5G08070,Transcription factor TCP17 [Source:UniProtKB/Swiss-Prot;Acc:Q9LEZ9],830701
,AT1G17540,Kinase with adenine nucleotide alpha hydrolases-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q681A5],838328
,AT2G39280,Ypt/Rab-GAP domain of gyp1p superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IUX9],818513
RIC2,AT1G27380,RIC2 [Source:UniProtKB/TrEMBL;Acc:A0A178WAB0],839627
,AT1G58643,Inositol-pentakisphosphate 2-kinase [Source:UniProtKB/TrEMBL;Acc:Q93WB3],842236
