gene_name,ensembl,description,entrezgene
air-1,WBGene00000098,Aurora/Ipl1 Related kinase; Aurora/Ipl1-related protein kinase 1  [Source:UniProtKB/TrEMBL;Acc:G5EDL3],179202
air-2,WBGene00000099,Aurora/IPL1-related protein kinase 2  [Source:UniProtKB/Swiss-Prot;Acc:O01427],172268
ajm-1,WBGene00000100,Apical Junction Molecule  [Source:UniProtKB/TrEMBL;Acc:A0A1C3NSM8],181148
aka-1,WBGene00000101,A Kinase Anchor protein; A kinase anchor protein  [Source:UniProtKB/TrEMBL;Acc:Q18930],174216
akt-1,WBGene00000102,Serine/threonine-protein kinase akt-1  [Source:UniProtKB/Swiss-Prot;Acc:Q17941],179424
akt-2,WBGene00000103,Serine/threonine-protein kinase akt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q9XTG7],181524
alg-1,WBGene00000105,Argonaute-like  [Source:UniProtKB/TrEMBL;Acc:Q3LTR7],181504
alg-2,WBGene00000106,,173468
alh-1,WBGene00000107,ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q8IG19],175691
alh-2,WBGene00000108,ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q9TXM0],187001
alh-3,WBGene00000109,10-formyltetrahydrofolate dehydrogenase  [Source:UniProtKB/TrEMBL;Acc:G5ECV9],177999
alh-4,WBGene00000110,Aldehyde dehydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q8MXJ7],179026
alh-5,WBGene00000111,Aldehyde dehydrogenase  [Source:UniProtKB/TrEMBL;Acc:O44555],178680
alh-6,WBGene00000112,ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q6A593],173510
alh-7,WBGene00000113,ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:O02266],174991
alh-8,WBGene00000114,"Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P52713]",174800
alh-9,WBGene00000115,Putative aldehyde dehydrogenase family 7 member A1 homolog  [Source:UniProtKB/Swiss-Prot;Acc:P46562],175820
alh-10,WBGene00000116,ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q18822],180979
alh-11,WBGene00000117,ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q20352],185679
alh-12,WBGene00000118,ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q7Z1Q3],176056
aly-1,WBGene00000120,Ref/ALY RNA export adaptor family  [Source:UniProtKB/TrEMBL;Acc:Q17561],177735
aly-2,WBGene00000121,Ref/ALY RNA export adaptor family  [Source:UniProtKB/TrEMBL;Acc:O62183],177738
aly-3,WBGene00000122,Ref/ALY RNA export adaptor family  [Source:UniProtKB/TrEMBL;Acc:Q21559],178157
ama-1,WBGene00000123,DNA-directed RNA polymerase II subunit RPB1  [Source:UniProtKB/Swiss-Prot;Acc:P16356],177190
amt-1,WBGene00000133,Putative ammonium transporter 1  [Source:UniProtKB/Swiss-Prot;Acc:P54145],180729
amt-2,WBGene00000134,Putative ammonium transporter 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20605],186047
amt-3,WBGene00000135,Putative ammonium transporter 3  [Source:UniProtKB/Swiss-Prot;Acc:Q21565],174338
amt-4,WBGene00000136,Ammonium transporter  [Source:UniProtKB/TrEMBL;Acc:Q17663],180728
amx-1,WBGene00000137,Amine oxidase family member 1  [Source:UniProtKB/Swiss-Prot;Acc:Q21988],175493
amx-2,WBGene00000138,AMine oXidase family  [Source:UniProtKB/TrEMBL;Acc:Q9XXU5],173146
amx-3,WBGene00000139,AMine oXidase family  [Source:UniProtKB/TrEMBL;Acc:E0AHD3],184919
anc-1,WBGene00000140,Nuclear anchorage protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9N4M4],172034
aos-1,WBGene00000142,SUMO-activating enzyme subunit aos-1  [Source:UniProtKB/Swiss-Prot;Acc:Q17820],179409
apc-2,WBGene00000143,Anaphase-promoting complex subunit 2  [Source:UniProtKB/Swiss-Prot;Acc:P34514],176139
apc-10,WBGene00000144,Anaphase-promoting complex subunit 10  [Source:UniProtKB/Swiss-Prot;Acc:H2L2B8],179454
apc-11,WBGene00000145,Anaphase-promoting complex subunit 11  [Source:UniProtKB/Swiss-Prot;Acc:Q20052],175604
ape-1,WBGene00000146,Apoptotic enhancer 1 protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9XVN3],179601
aph-1,WBGene00000147,Gamma-secretase subunit aph-1  [Source:UniProtKB/Swiss-Prot;Acc:O45876],172747
aph-2,WBGene00000148,Nicastrin  [Source:UniProtKB/Swiss-Prot;Acc:Q23316],172905
apl-1,WBGene00000149,Beta-amyloid-like protein  [Source:UniProtKB/Swiss-Prot;Acc:Q10651],180783
apm-1,WBGene00000150,"AdaPtin, Mu/medium chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:O01755]",172180
apn-1,WBGene00000151,DNA-(apurinic or apyrimidinic site) lyase  [Source:UniProtKB/Swiss-Prot;Acc:Q10002],174291
app-1,WBGene00000155,Xaa-Pro aminopeptidase app-1  [Source:UniProtKB/Swiss-Prot;Acc:O44750],172118
apr-1,WBGene00000156,Adenomatous polyposis coli protein-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q21227],172591
aps-2,WBGene00000157,"AdaPtin, Small chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:Q19123]",184091
apg-1,WBGene00000158,"AdaPtin, Gamma chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:Q8WQB3]",173304
aps-1,WBGene00000159,"AdaPtin, Small chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:O16369]",178989
apb-1,WBGene00000160,AP complex subunit beta  [Source:UniProtKB/TrEMBL;Acc:Q9N4F3],175376
apa-2,WBGene00000161,"AdaPtin, Alpha chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:Q22601]",181163
apd-3,WBGene00000162,AP-3 complex subunit delta  [Source:UniProtKB/TrEMBL;Acc:Q95X88],173701
apb-3,WBGene00000163,AP-3 complex subunit beta  [Source:UniProtKB/TrEMBL;Acc:O45718],172553
apm-3,WBGene00000164,"AdaPtin, Mu/medium chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:Q20736]",186194
aps-3,WBGene00000165,"AdaPtin, Small chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:Q8T874]",171691
apt-9,WBGene00000166,AdaPTin or adaptin-related protein  [Source:UniProtKB/TrEMBL;Acc:Q23165],189194
apx-1,WBGene00000168,Anterior pharynx in excess protein 1  [Source:UniProtKB/Swiss-Prot;Acc:P41990],178759
aqp-1,WBGene00000169,AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:Q8IG23],174190
aqp-2,WBGene00000170,AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:Q17571],174467
aqp-3,WBGene00000171,AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:A0A061ADS9],190553
aqp-4,WBGene00000172,AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:G5EEK0],179366
aqp-5,WBGene00000173,AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:Q18469],183221
aqp-6,WBGene00000174,AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:D5MCS1],183121
aqp-7,WBGene00000175,AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:Q21473],180589
aqp-8,WBGene00000176,AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:Q7Z138],180744
aqp-9,WBGene00000177,AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:E5QCH4],3565336
aqp-10,WBGene00000178,Putative aquaporin-10  [Source:UniProtKB/Swiss-Prot;Acc:Q09369],174537
aqp-11,WBGene00000179,Aquaporin  [Source:UniProtKB/TrEMBL;Acc:O46024],191343
arc-1,WBGene00000180,E3 ubiquitin-protein ligase arc-1  [Source:UniProtKB/Swiss-Prot;Acc:Q09654],174525
ard-1,WBGene00000181,Alcohol/Ribitol Dehydrogenase family  [Source:UniProtKB/TrEMBL;Acc:Q19102],178016
arf-1.2,WBGene00000182,ADP-ribosylation factor 1-like 2  [Source:UniProtKB/Swiss-Prot;Acc:Q10943],175801
arf-3,WBGene00000183,ADP-Ribosylation Factor related; ADP-ribosylation factor related (20.5 kD) (Arf-3)  [Source:UniProtKB/TrEMBL;Acc:G5EFK4],177595
arf-6,WBGene00000184,ADP-Ribosylation Factor related  [Source:UniProtKB/TrEMBL;Acc:Q9U2S4],191608
arg-1,WBGene00000185,Delta-like protein  [Source:UniProtKB/TrEMBL;Acc:Q7JNV6],180501
ark-1,WBGene00000186,Ack-related non-receptor tyrosine kinase  [Source:UniProtKB/Swiss-Prot;Acc:G5EBZ8],178218
arl-1,WBGene00000187,ADP-ribosylation factor-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q20758],174375
arl-3,WBGene00000188,ADP-ribosylation factor-like protein 3  [Source:UniProtKB/Swiss-Prot;Acc:O45379],175121
arl-5,WBGene00000189,ADP-ribosylation factor-like protein 5  [Source:UniProtKB/Swiss-Prot;Acc:P34212],176392
arf-1.1,WBGene00000190,ADP-ribosylation factor 1-like 1  [Source:UniProtKB/Swiss-Prot;Acc:Q94231],191609
arl-7,WBGene00000191,,NA
arl-8,WBGene00000192,ARF-Like; Novel small G protein indispensable for equal chromosome segregation  [Source:UniProtKB/TrEMBL;Acc:G5EDC6],178405
arl-6,WBGene00000193,ADP-ribosylation factor-like protein 6  [Source:UniProtKB/Swiss-Prot;Acc:Q18510],183311
arr-1,WBGene00000195,Probable beta-arrestin  [Source:UniProtKB/Swiss-Prot;Acc:P51485],180446
aars-1,WBGene00000196,"Alanine--tRNA ligase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q23122]",174749
aars-2,WBGene00000197,"Alanine--tRNA ligase, cytoplasmic  [Source:UniProtKB/Swiss-Prot;Acc:O01541]",171985
art-1,WBGene00000198,Probable very-long-chain enoyl-CoA reductase art-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9N5Y2],174140
arx-1,WBGene00000199,Actin-related protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q9N4I0],171857
arx-2,WBGene00000200,Actin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:P53489],179440
arx-3,WBGene00000201,ARp2/3 compleX component  [Source:UniProtKB/TrEMBL;Acc:Q9U1R7],3565442
exos-4.2,WBGene00000202,EXOSome (Multiexonuclease complex) component  [Source:UniProtKB/TrEMBL;Acc:Q9N4P9],259488
arx-5,WBGene00000203,Probable actin-related protein 2/3 complex subunit 3  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWV3],176697
arx-6,WBGene00000204,Probable actin-related protein 2/3 complex subunit 4  [Source:UniProtKB/Swiss-Prot;Acc:P58798],175650
arx-7,WBGene00000205,Actin-related protein 2/3 complex subunit 5  [Source:UniProtKB/TrEMBL;Acc:O61861],171882
asb-1,WBGene00000206,ATP Synthase B homolog  [Source:UniProtKB/TrEMBL;Acc:Q20053],175605
asb-2,WBGene00000207,ATP Synthase B homolog  [Source:UniProtKB/TrEMBL;Acc:Q19126],180718
asc-1,WBGene00000208,ASC-1; Activating Signal Cointegrator homolog  [Source:UniProtKB/TrEMBL;Acc:G5EDK1],175159
asg-1,WBGene00000209,"Probable ATP synthase subunit g 1, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P90921]",172673
asg-2,WBGene00000210,"Probable ATP synthase subunit g 2, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q18803]",180956
asm-1,WBGene00000211,Sphingomyelin phosphodiesterase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q10916],174131
asm-2,WBGene00000212,Sphingomyelin phosphodiesterase 2  [Source:UniProtKB/Swiss-Prot;Acc:Q23498],181323
asm-3,WBGene00000213,Putative sphingomyelin phosphodiesterase asm-3  [Source:UniProtKB/Swiss-Prot;Acc:Q9UAY4],176879
asp-1,WBGene00000214,ASpartyl Protease; Aspartic protease 1  [Source:UniProtKB/TrEMBL;Acc:G5EEI4],180251
asp-2,WBGene00000215,ASpartyl Protease  [Source:UniProtKB/TrEMBL;Acc:Q86NE1],179302
asp-3,WBGene00000216,Aspartic protease 3  [Source:UniProtKB/Swiss-Prot;Acc:P55956],180947
asp-4,WBGene00000217,ASpartyl Protease  [Source:UniProtKB/TrEMBL;Acc:Q21966],181444
asp-5,WBGene00000218,ASpartyl Protease  [Source:UniProtKB/TrEMBL;Acc:O01532],179211
asp-6,WBGene00000219,Aspartic protease 6  [Source:UniProtKB/Swiss-Prot;Acc:O01530],179209
atf-2,WBGene00000220,ATF (cAMP-dependent transcription factor) family  [Source:UniProtKB/TrEMBL;Acc:Q21361],174399
atf-5,WBGene00000221,ATF (cAMP-dependent transcription factor) family  [Source:UniProtKB/TrEMBL;Acc:Q22156],181576
atf-6,WBGene00000222,ATF (cAMP-dependent transcription factor) family  [Source:UniProtKB/TrEMBL;Acc:Q20435],181405
atf-7,WBGene00000223,ATF (cAMP-dependent transcription factor) family  [Source:UniProtKB/TrEMBL;Acc:B3GWA6],175587
atgp-1,WBGene00000224,Amino acid Transporter GlycoProtein subunit  [Source:UniProtKB/TrEMBL;Acc:Q9XVU3],178504
atgp-2,WBGene00000225,Amino acid Transporter GlycoProtein subunit  [Source:UniProtKB/TrEMBL;Acc:G1K110],175125
atl-1,WBGene00000226,Serine/threonine-protein kinase ATR  [Source:UniProtKB/Swiss-Prot;Acc:Q22258],179352
atm-1,WBGene00000227,Serine/threonine-protein kinase ATM  [Source:UniProtKB/Swiss-Prot;Acc:Q9N3Q4],3565793
atn-1,WBGene00000228,AcTiniN  [Source:UniProtKB/TrEMBL;Acc:H2L2C8],179709
atp-2,WBGene00000229,"ATP synthase subunit beta, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P46561]",175716
atp-3,WBGene00000230,ATP synthase subunit  [Source:UniProtKB/TrEMBL;Acc:Q7JNG1],172195
atx-2,WBGene00000231,Ataxin-2 homolog  [Source:UniProtKB/Swiss-Prot;Acc:G5ED29],176465
avr-14,WBGene00000232,Inhibitory amino acid receptor subunit gbr-2A  [Source:UniProtKB/TrEMBL;Acc:Q17367],172270
avr-15,WBGene00000233,GluClalpha2B protein  [Source:UniProtKB/TrEMBL;Acc:O17548],179834
baf-1,WBGene00000235,Barrier-to-autointegration factor 1  [Source:UniProtKB/Swiss-Prot;Acc:Q03565],176330
bag-1,WBGene00000236,BAG family molecular chaperone regulator 1  [Source:UniProtKB/Swiss-Prot;Acc:O44739],172373
bam-2,WBGene00000237,BAM-2  [Source:UniProtKB/TrEMBL;Acc:G5ECL4],171868
bar-1,WBGene00000238,Beta-catenin/armadillo-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18825],180982
bas-1,WBGene00000239,Biogenic Amine Synthesis related  [Source:UniProtKB/TrEMBL;Acc:O45137],175778
pah-1,WBGene00000240,Probable phenylalanine-4-hydroxylase 1  [Source:UniProtKB/Swiss-Prot;Acc:P90925],174401
bbs-1,WBGene00000241,Bardet-Biedl syndrome 1 protein homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q9NEZ7],260219
bbs-2,WBGene00000242,Bardet-Biedl syndrome 2 protein homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q19640],259580
bbs-8,WBGene00000244,Tetratricopeptide repeat protein 8  [Source:UniProtKB/Swiss-Prot;Acc:Q23049],188904
bca-1,WBGene00000245,Beta carbonic anhydrase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q22460],180890
bcc-1,WBGene00000246,BiCaudal C (Drosophila) homolog  [Source:UniProtKB/TrEMBL;Acc:Q21593],178008
bec-1,WBGene00000247,Beclin homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q22592],177345
ben-1,WBGene00000248,Tubulin beta chain  [Source:UniProtKB/TrEMBL;Acc:Q18817],175461
bir-1,WBGene00000249,BIR (Baculovirus inhibitory repeat) family; Inhibitor of apoptosis homolog  [Source:UniProtKB/TrEMBL;Acc:G5EFA2],179597
bir-2,WBGene00000250,BIR (Baculovirus inhibitory repeat) family; Inhibitor of apoptosis homolog  [Source:UniProtKB/TrEMBL;Acc:G5ECJ5],179841
bli-1,WBGene00000251,Cuticle collagen bli-1  [Source:UniProtKB/Swiss-Prot;Acc:Q09457],174653
