gene_name,ensembl,description,entrezgene
tll1,ENSDARG00000037429,tolloid-like 1 [Source:ZFIN;Acc:ZDB-GENE-041020-1],474335
crygm2e,ENSDARG00000044875,"crystallin, gamma M2e [Source:ZFIN;Acc:ZDB-GENE-081105-116]",569604
hsf4,ENSDARG00000013251,heat shock transcription factor 4 [Source:ZFIN;Acc:ZDB-GENE-050306-18],503739
sult3st1,ENSDARG00000009885,"sulfotransferase family 3, cytosolic sulfotransferase 1 [Source:ZFIN;Acc:ZDB-GENE-061207-52]",558790
rxrba,ENSDARG00000078954,"retinoid x receptor, beta a [Source:ZFIN;Acc:ZDB-GENE-980526-436]",30530
lrfn1,ENSDARG00000027602,leucine rich repeat and fibronectin type III domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1227],393587
sez6l,ENSDARG00000100594,seizure related 6 homolog (mouse)-like [Source:ZFIN;Acc:ZDB-GENE-091204-162],100331987
si:ch211-1f22.2,ENSDARG00000096666,si:ch211-1f22.2 [Source:ZFIN;Acc:ZDB-GENE-121214-149],NA
drap1,ENSDARG00000041203,DR1-associated protein 1 (negative cofactor 2 alpha) [Source:ZFIN;Acc:ZDB-GENE-030131-400],321681
si:ch211-215k15.5,ENSDARG00000103484,si:ch211-215k15.5 [Source:ZFIN;Acc:ZDB-GENE-041111-115],797003
DOCK4 (1 of many),ENSDARG00000076213,dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192],566115
BX001030.1,ENSDARG00000056498,,NA
scn8aa,ENSDARG00000005775,"sodium channel, voltage gated, type VIII, alpha subunit a [Source:ZFIN;Acc:ZDB-GENE-000828-1]",58152
otud6b,ENSDARG00000102705,OTU domain containing 6B [Source:ZFIN;Acc:ZDB-GENE-040426-974],393194
tspan18b,ENSDARG00000015015,tetraspanin 18b [Source:ZFIN;Acc:ZDB-GENE-040718-137],436712
crygm2d13,ENSDARG00000057460,"crystallin, gamma M2d13 [Source:ZFIN;Acc:ZDB-GENE-040718-105]",436681
zmynd8,ENSDARG00000007601,"zinc finger, MYND-type containing 8 [Source:ZFIN;Acc:ZDB-GENE-041119-1]",564460
olfcg2,ENSDARG00000101083,"olfactory receptor C family, g2 [Source:ZFIN;Acc:ZDB-GENE-060503-253]",100004628
fbn2b,ENSDARG00000098237,fibrillin 2b [Source:ZFIN;Acc:ZDB-GENE-090112-3],571786
slc4a4b,ENSDARG00000044808,"solute carrier family 4 (sodium bicarbonate cotransporter), member 4b [Source:ZFIN;Acc:ZDB-GENE-091030-1]",561618
tbc1d16,ENSDARG00000036994,"TBC1 domain family, member 16 [Source:ZFIN;Acc:ZDB-GENE-041010-179]",450056
cnksr2b,ENSDARG00000073707,connector enhancer of kinase suppressor of Ras 2b [Source:ZFIN;Acc:ZDB-GENE-030131-8048],558834
si:ch73-315f9.2,ENSDARG00000098937,si:ch73-315f9.2 [Source:ZFIN;Acc:ZDB-GENE-131121-517],NA
CU571161.1,ENSDARG00000097332,,NA
ints14,ENSDARG00000041429,integrator complex subunit 14 [Source:ZFIN;Acc:ZDB-GENE-030131-5804],327593
si:ch211-173d10.1,ENSDARG00000063347,si:ch211-173d10.1 [Source:NCBI gene;Acc:102659286],102659286
hmgcl,ENSDARG00000021220,3-hydroxy-3-methylglutaryl-CoA lyase [Source:ZFIN;Acc:ZDB-GENE-040426-958],394190
wdr66,ENSDARG00000059855,WD repeat domain 66 [Source:ZFIN;Acc:ZDB-GENE-060526-328],569257
exoc2,ENSDARG00000055610,exocyst complex component 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1160],100004870
slc35a1,ENSDARG00000040180,"solute carrier family 35 (CMP-sialic acid transporter), member A1 [Source:ZFIN;Acc:ZDB-GENE-080716-17]",100004536
si:ch211-1f22.10,ENSDARG00000096619,si:ch211-1f22.10 [Source:ZFIN;Acc:ZDB-GENE-121214-82],100006104
si:ch1073-190k2.1,ENSDARG00000097973,si:ch1073-190k2.1 [Source:ZFIN;Acc:ZDB-GENE-131127-449],NA
si:ch211-234p6.9,ENSDARG00000095730,si:ch211-234p6.9 [Source:ZFIN;Acc:ZDB-GENE-060503-33],NA
cadm3,ENSDARG00000057013,cell adhesion molecule 3 [Source:ZFIN;Acc:ZDB-GENE-060512-196],692273
BX571960.1,ENSDARG00000103130,,NA
adgrd1,ENSDARG00000053344,adhesion G protein-coupled receptor D1 [Source:ZFIN;Acc:ZDB-GENE-041212-24],NA
mpc1,ENSDARG00000093448,mitochondrial pyruvate carrier 1 [Source:ZFIN;Acc:ZDB-GENE-040718-94],436671
BX088710.1,ENSDARG00000092444,,NA
vmo1b,ENSDARG00000045299,vitelline membrane outer layer 1 homolog b [Source:ZFIN;Acc:ZDB-GENE-120215-131],793799
ptchd1,ENSDARG00000018066,patched domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-061220-1],562268
si:ch73-302o18.2,ENSDARG00000088316,si:ch73-302o18.2 [Source:ZFIN;Acc:ZDB-GENE-120215-213],101882887
CU104782.1,ENSDARG00000099770,,NA
ndufa4l,ENSDARG00000099499,"NADH:ubiquinone oxidoreductase subunit A4, like [Source:ZFIN;Acc:ZDB-GENE-040426-2756]",406726
ADGRL3,ENSDARG00000090624,adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974],NA
galk1,ENSDARG00000028088,galactokinase 1 [Source:ZFIN;Acc:ZDB-GENE-041010-79],449829
fgfr1op2,ENSDARG00000009657,FGFR1 oncogene partner 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7451],335511
zc3h10,ENSDARG00000030335,zinc finger CCCH-type containing 10 [Source:ZFIN;Acc:ZDB-GENE-040426-2359],404630
FP103106.1,ENSDARG00000096465,,NA
zgc:63470,ENSDARG00000019406,zgc:63470 [Source:ZFIN;Acc:ZDB-GENE-040426-1126],393420
AL845295.2,ENSDARG00000096472,,NA
si:dkey-21h14.12,ENSDARG00000096156,si:dkey-21h14.12 [Source:ZFIN;Acc:ZDB-GENE-110913-1],NA
vamp1,ENSDARG00000031283,vesicle-associated membrane protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2725],406707
cdh24b,ENSDARG00000077996,"cadherin 24, type 2b [Source:ZFIN;Acc:ZDB-GENE-081104-50]",100007192
irf2,ENSDARG00000040465,interferon regulatory factor 2 [Source:ZFIN;Acc:ZDB-GENE-041212-38],494071
mei4,ENSDARG00000043912,"meiosis-specific, MEI4 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040724-211]",568897
crygm2d11,ENSDARG00000069827,"crystallin, gamma M2d11 [Source:ZFIN;Acc:ZDB-GENE-071004-42]",100126132
casp3a,ENSDARG00000017905,"caspase 3, apoptosis-related cysteine peptidase a [Source:ZFIN;Acc:ZDB-GENE-011210-1]",140621
si:dkey-285e18.2,ENSDARG00000076160,si:dkey-285e18.2 [Source:ZFIN;Acc:ZDB-GENE-120703-43],NA
si:ch1073-406l10.2,ENSDARG00000089645,si:ch1073-406l10.2 [Source:ZFIN;Acc:ZDB-GENE-141212-315],100536977
crp6,ENSDARG00000071457,C-reactive protein 6 [Source:ZFIN;Acc:ZDB-GENE-060503-881],797437
soga3a,ENSDARG00000088571,SOGA family member 3a [Source:ZFIN;Acc:ZDB-GENE-100921-84],558933
hectd2,ENSDARG00000061194,HECT domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-100405-3],562999
slc16a4,ENSDARG00000042807,"solute carrier family 16, member 4 [Source:ZFIN;Acc:ZDB-GENE-070112-602]",567144
hdlbpb,ENSDARG00000061864,high density lipoprotein binding protein b [Source:ZFIN;Acc:ZDB-GENE-030131-6822],555414
si:ch211-1f22.11,ENSDARG00000094524,si:ch211-1f22.11 [Source:ZFIN;Acc:ZDB-GENE-121214-66],NA
usp53b,ENSDARG00000076499,ubiquitin specific peptidase 53b [Source:ZFIN;Acc:ZDB-GENE-090312-168],NA
fam129ab,ENSDARG00000023053,"family with sequence similarity 129, member Ab [Source:ZFIN;Acc:ZDB-GENE-070912-688]",561414
si:ch73-341k19.1,ENSDARG00000095946,si:ch73-341k19.1 [Source:ZFIN;Acc:ZDB-GENE-110411-201],100538003
SMIM22,ENSDARG00000105068,small integral membrane protein 22 [Source:HGNC Symbol;Acc:HGNC:48329],100334410
chs1,ENSDARG00000068515,chitin synthase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1188],322468
CU929307.1,ENSDARG00000102297,,NA
mov10b.2,ENSDARG00000056065,"Moloney leukemia virus 10b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-060526-371]",555950
si:ch211-132p1.3,ENSDARG00000090889,si:ch211-132p1.3 [Source:ZFIN;Acc:ZDB-GENE-130530-1010],793246
wt1a,ENSDARG00000031420,wilms tumor 1a [Source:ZFIN;Acc:ZDB-GENE-980526-558],30245
pex13,ENSDARG00000071037,peroxisomal biogenesis factor 13 [Source:ZFIN;Acc:ZDB-GENE-040426-1544],393618
wdr46,ENSDARG00000095879,WD repeat domain 46 [Source:ZFIN;Acc:ZDB-GENE-040426-1264],393596
nfxl1,ENSDARG00000070127,"nuclear transcription factor, X-box binding-like 1 [Source:ZFIN;Acc:ZDB-GENE-110411-178]",100333008
kctd1,ENSDARG00000074056,potassium channel tetramerization domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040724-194],555637
soga3a,ENSDARG00000063311,SOGA family member 3a [Source:ZFIN;Acc:ZDB-GENE-100921-84],100332515
tagln2,ENSDARG00000033466,transgelin 2 [Source:ZFIN;Acc:ZDB-GENE-020802-2],259183
naglu,ENSDARG00000030156,"N-acetylglucosaminidase, alpha [Source:ZFIN;Acc:ZDB-GENE-100726-2]",560126
enosf1,ENSDARG00000038359,enolase superfamily member 1 [Source:ZFIN;Acc:ZDB-GENE-060929-780],558186
cbx5,ENSDARG00000061187,"chromobox homolog 5 (HP1 alpha homolog, Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-5553]",563396
ugt2a6,ENSDARG00000039501,"UDP glucuronosyltransferase 2 family, polypeptide A6 [Source:ZFIN;Acc:ZDB-GENE-081104-3]",797211
pik3ca,ENSDARG00000075456,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:ZFIN;Acc:ZDB-GENE-130409-1]",561737
surf6,ENSDARG00000035427,surfeit 6 [Source:ZFIN;Acc:ZDB-GENE-040426-1333],394040
soga3a,ENSDARG00000097245,SOGA family member 3a [Source:ZFIN;Acc:ZDB-GENE-100921-84],NA
znf1114,ENSDARG00000117163,zinc finger protein 1114 [Source:ZFIN;Acc:ZDB-GENE-110914-54],NA
bfb,ENSDARG00000005616,complement component bfb [Source:ZFIN;Acc:ZDB-GENE-990415-34],30489
larp4b,ENSDARG00000062146,"La ribonucleoprotein domain family, member 4B [Source:ZFIN;Acc:ZDB-GENE-061027-39]",563742
si:ch211-113p18.3,ENSDARG00000087835,si:ch211-113p18.3 [Source:ZFIN;Acc:ZDB-GENE-030131-4983],559644
stc2a,ENSDARG00000056680,stanniocalcin 2a [Source:ZFIN;Acc:ZDB-GENE-041008-14],544665
capn9,ENSDARG00000012341,calpain 9 [Source:ZFIN;Acc:ZDB-GENE-010724-2],445107
pdzd11,ENSDARG00000053194,PDZ domain containing 11 [Source:ZFIN;Acc:ZDB-GENE-040426-2544],405893
si:ch1073-181h11.2,ENSDARG00000103883,si:ch1073-181h11.2 [Source:ZFIN;Acc:ZDB-GENE-081031-58],NA
si:dkey-4c15.13,ENSDARG00000095704,si:dkey-4c15.13 [Source:ZFIN;Acc:ZDB-GENE-030131-2023],NA
faah2a,ENSDARG00000008457,fatty acid amide hydrolase 2a [Source:ZFIN;Acc:ZDB-GENE-040718-453],436973
si:dkey-81e3.2,ENSDARG00000097406,si:dkey-81e3.2 [Source:ZFIN;Acc:ZDB-GENE-131119-24],793178
lcp2b,ENSDARG00000036215,lymphocyte cytosolic protein 2b [Source:ZFIN;Acc:ZDB-GENE-081107-21],100004351
ankrd33ab,ENSDARG00000002508,ankyrin repeat domain 33Ab [Source:ZFIN;Acc:ZDB-GENE-100729-1],569518
fam160a1b,ENSDARG00000102585,"family with sequence similarity 160, member A1b [Source:ZFIN;Acc:ZDB-GENE-110411-10]",100332943
si:dkey-21h14.10,ENSDARG00000096187,si:dkey-21h14.10 [Source:ZFIN;Acc:ZDB-GENE-110913-2],NA
AL935303.1,ENSDARG00000105171,,NA
znf277,ENSDARG00000025346,zinc finger protein 277 [Source:ZFIN;Acc:ZDB-GENE-040426-1633],393402
glmp,ENSDARG00000059354,glycosylated lysosomal membrane protein [Source:ZFIN;Acc:ZDB-GENE-040912-142],447841
si:ch211-288g17.3,ENSDARG00000070959,si:ch211-288g17.3 [Source:ZFIN;Acc:ZDB-GENE-030131-461],567638
prpf3,ENSDARG00000086425,PRP3 pre-mRNA processing factor 3 homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-040823-3],403072
lamtor5,ENSDARG00000090194,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5 [Source:ZFIN;Acc:ZDB-GENE-110411-193]",100333504
si:dkey-4c15.14,ENSDARG00000094410,si:dkey-4c15.14 [Source:ZFIN;Acc:ZDB-GENE-050420-79],100038795
egln2,ENSDARG00000062562,egl-9 family hypoxia-inducible factor 2 [Source:ZFIN;Acc:ZDB-GENE-060503-757],559569
luzp1,ENSDARG00000075556,leucine zipper protein 1 [Source:ZFIN;Acc:ZDB-GENE-060810-90],558606
lect2l,ENSDARG00000033227,leukocyte cell-derived chemotaxin 2 like [Source:ZFIN;Acc:ZDB-GENE-070127-4],567278
ERC1,ENSDARG00000076014,ELKS/RAB6-interacting/CAST family member 1 [Source:HGNC Symbol;Acc:HGNC:17072],560003
uchl1,ENSDARG00000026871,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase) [Source:ZFIN;Acc:ZDB-GENE-030131-3844],325119
si:ch211-51f19.1,ENSDARG00000099304,si:ch211-51f19.1 [Source:ZFIN;Acc:ZDB-GENE-141216-485],NA
si:ch1073-340i21.3,ENSDARG00000088885,si:ch1073-340i21.3 [Source:ZFIN;Acc:ZDB-GENE-030131-199],570991
kyat1,ENSDARG00000023645,kynurenine aminotransferase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2676],791592
si:ch211-222m18.4,ENSDARG00000094425,si:ch211-222m18.4 [Source:ZFIN;Acc:ZDB-GENE-050419-64],NA
si:dkey-266f7.5,ENSDARG00000094886,si:dkey-266f7.5 [Source:ZFIN;Acc:ZDB-GENE-070705-437],100006143
cited4b,ENSDARG00000101009,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4b [Source:ZFIN;Acc:ZDB-GENE-030425-5]",100006037
srrm4,ENSDARG00000086327,serine/arginine repetitive matrix 4 [Source:ZFIN;Acc:ZDB-GENE-050208-34],796574
FP085399.2,ENSDARG00000103738,dispanin subfamily A member 2b-like [Source:NCBI gene;Acc:100149761],100149761
hacd3,ENSDARG00000016038,3-hydroxyacyl-CoA dehydratase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1200],393441
si:dkey-199m13.5,ENSDARG00000098876,si:dkey-199m13.5 [Source:ZFIN;Acc:ZDB-GENE-110913-174],NA
slc43a2b,ENSDARG00000061120,"solute carrier family 43 (amino acid system L transporter), member 2b [Source:ZFIN;Acc:ZDB-GENE-041212-6]",494042
tbx15,ENSDARG00000002582,T-box 15 [Source:ZFIN;Acc:ZDB-GENE-020529-1],246222
erc1b,ENSDARG00000031930,ELKS/RAB6-interacting/CAST family member 1b [Source:ZFIN;Acc:ZDB-GENE-041210-51],NA
BX000524.2,ENSDARG00000105500,,NA
FP085399.3,ENSDARG00000103941,,NA
hhipl2,ENSDARG00000060008,HHIP-like 2 [Source:ZFIN;Acc:ZDB-GENE-131120-145],560376
gdf11,ENSDARG00000044924,growth differentiation factor 11 [Source:ZFIN;Acc:ZDB-GENE-040427-2],406247
thrb,ENSDARG00000021163,thyroid hormone receptor beta [Source:ZFIN;Acc:ZDB-GENE-990415-268],30607
zgc:152948,ENSDARG00000071487,zgc:152948 [Source:ZFIN;Acc:ZDB-GENE-060929-364],767666
FP085399.5,ENSDARG00000104882,,NA
diras1a,ENSDARG00000028066,"DIRAS family, GTP-binding RAS-like 1a [Source:ZFIN;Acc:ZDB-GENE-030131-5788]",327577
btbd3a,ENSDARG00000005544,BTB (POZ) domain containing 3a [Source:ZFIN;Acc:ZDB-GENE-090312-7],563691
si:ch73-382f3.1,ENSDARG00000093833,si:ch73-382f3.1 [Source:ZFIN;Acc:ZDB-GENE-030131-9513],100151273
b3galt2,ENSDARG00000102061,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2078]",404633
fam120b,ENSDARG00000030804,family with sequence similarity 120B [Source:ZFIN;Acc:ZDB-GENE-040801-119],445206
tmc5,ENSDARG00000013252,transmembrane channel like 5 [Source:ZFIN;Acc:ZDB-GENE-120411-6],561497
hmgn7,ENSDARG00000062326,high mobility group nucleosomal binding domain 7 [Source:ZFIN;Acc:ZDB-GENE-061215-23],567263
cfap126,ENSDARG00000070868,cilia and flagella associated protein 126 [Source:ZFIN;Acc:ZDB-GENE-060825-357],751706
fndc7rs4,ENSDARG00000092813,"fibronectin type III domain containing 7, related sequence 4 [Source:ZFIN;Acc:ZDB-GENE-070912-648]",NA
med13a,ENSDARG00000053884,mediator complex subunit 13a [Source:ZFIN;Acc:ZDB-GENE-070627-13],100004024
CU927887.1,ENSDARG00000112474,,NA
si:dkey-88e18.2,ENSDARG00000069504,si:dkey-88e18.2 [Source:ZFIN;Acc:ZDB-GENE-110411-159],100001799
wdr83os,ENSDARG00000025554,WD repeat domain 83 opposite strand [Source:ZFIN;Acc:ZDB-GENE-040426-1674],393689
BX324132.1,ENSDARG00000068792,,NA
zbtb34,ENSDARG00000013492,zinc finger and BTB domain containing 34 [Source:ZFIN;Acc:ZDB-GENE-050624-2],100004439
cib1,ENSDARG00000103118,calcium and integrin binding 1 (calmyrin) [Source:ZFIN;Acc:ZDB-GENE-050417-170],550376
CR788230.1,ENSDARG00000092267,,NA
selenop2,ENSDARG00000079727,selenoprotein P2 [Source:ZFIN;Acc:ZDB-GENE-030311-2],791479
zgc:110783,ENSDARG00000070487,zgc:110783 [Source:ZFIN;Acc:ZDB-GENE-050327-95],378742
si:cabz01076231.1,ENSDARG00000105631,si:cabz01076231.1 [Source:ZFIN;Acc:ZDB-GENE-160728-151],101886622
crygm2d15,ENSDARG00000069826,"crystallin, gamma M2d15 [Source:ZFIN;Acc:ZDB-GENE-040718-322]",436855
prok1,ENSDARG00000073948,prokineticin 1 [Source:ZFIN;Acc:ZDB-GENE-070928-34],100126018
fam45a,ENSDARG00000062965,"family with sequence similarity 45, member A [Source:ZFIN;Acc:ZDB-GENE-030131-3548]",556203
rx2,ENSDARG00000040321,retinal homeobox gene 2 [Source:ZFIN;Acc:ZDB-GENE-990415-237],30473
kif4,ENSDARG00000005462,kinesin family member 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1545],393796
si:ch73-236c18.9,ENSDARG00000096528,si:ch73-236c18.9 [Source:ZFIN;Acc:ZDB-GENE-121214-125],792701
lactbl1b,ENSDARG00000070467,"lactamase, beta-like 1b [Source:ZFIN;Acc:ZDB-GENE-061207-53]",567200
si:ch211-173p18.3,ENSDARG00000035821,si:ch211-173p18.3 [Source:ZFIN;Acc:ZDB-GENE-060503-672],553317
gdnfa,ENSDARG00000039959,glial cell derived neurotrophic factor a [Source:ZFIN;Acc:ZDB-GENE-010226-1],79379
