gene_name,ensembl,description,entrezgene
RF00334,ENSMFAG00000035036,"small nucleolar RNA, H/ACA box 3A [Source:HGNC Symbol;Acc:HGNC:32586]",NA
RF00019,ENSMFAG00000035035,,NA
,ENSMFAG00000035034,,NA
RF00019,ENSMFAG00000035029,,NA
RF00026,ENSMFAG00000035027,,NA
RF00026,ENSMFAG00000035020,"RNA, U6 small nuclear 1194, pseudogene [Source:HGNC Symbol;Acc:HGNC:48157]",NA
RF00019,ENSMFAG00000035019,,NA
,ENSMFAG00000035018,,NA
RF00334,ENSMFAG00000035017,,NA
,ENSMFAG00000035015,,NA
RF00026,ENSMFAG00000035014,"RNA, U6 small nuclear 768, pseudogene [Source:HGNC Symbol;Acc:HGNC:47731]",NA
RF00019,ENSMFAG00000035013,,NA
GJA10,ENSMFAG00000035012,gap junction protein alpha 10 [Source:HGNC Symbol;Acc:HGNC:16995],NA
TRIM15,ENSMFAG00000035011,tripartite motif containing 15 [Source:HGNC Symbol;Acc:HGNC:16284],102144911
RF00019,ENSMFAG00000035003,,NA
RF00139,ENSMFAG00000035002,,NA
RF00026,ENSMFAG00000035001,"RNA, U6 small nuclear 722, pseudogene [Source:HGNC Symbol;Acc:HGNC:47685]",NA
RF00100,ENSMFAG00000035000,"RNA, 7SK small nuclear pseudogene 117 [Source:HGNC Symbol;Acc:HGNC:45841]",NA
,ENSMFAG00000034999,,NA
,ENSMFAG00000034998,,NA
RF00019,ENSMFAG00000034997,,NA
RF00026,ENSMFAG00000034996,"RNA, U6 small nuclear 732, pseudogene [Source:HGNC Symbol;Acc:HGNC:47695]",NA
RF00019,ENSMFAG00000034994,,NA
RF00026,ENSMFAG00000034993,"RNA, U6 small nuclear 469, pseudogene [Source:HGNC Symbol;Acc:HGNC:47432]",NA
,ENSMFAG00000034992,,NA
,ENSMFAG00000034991,,NA
RF00139,ENSMFAG00000034990,,NA
NSD3,ENSMFAG00000034989,nuclear receptor binding SET domain protein 3 [Source:HGNC Symbol;Acc:HGNC:12767],102138188
,ENSMFAG00000034983,,NA
RF00026,ENSMFAG00000034979,"RNA, U6 small nuclear 1200, pseudogene [Source:HGNC Symbol;Acc:HGNC:48163]",NA
RF00019,ENSMFAG00000034977,,NA
RF00019,ENSMFAG00000034976,,NA
RF00026,ENSMFAG00000034975,"RNA, U6 small nuclear 204, pseudogene [Source:HGNC Symbol;Acc:HGNC:47167]",NA
,ENSMFAG00000034974,,NA
,ENSMFAG00000034973,,NA
RF00568,ENSMFAG00000034972,,NA
,ENSMFAG00000034969,,NA
FANCC,ENSMFAG00000034968,FA complementation group C [Source:HGNC Symbol;Acc:HGNC:3584],102143579
RF00019,ENSMFAG00000034964,,NA
,ENSMFAG00000034963,,NA
RF00026,ENSMFAG00000034962,"RNA, U6 small nuclear 942, pseudogene [Source:HGNC Symbol;Acc:HGNC:47905]",NA
RF00568,ENSMFAG00000034961,,NA
RF00019,ENSMFAG00000034960,,NA
RF00026,ENSMFAG00000034953,"RNA, U6 small nuclear 1156, pseudogene [Source:HGNC Symbol;Acc:HGNC:48119]",NA
,ENSMFAG00000034952,,NA
RF00026,ENSMFAG00000034949,"RNA, U6 small nuclear 859, pseudogene [Source:HGNC Symbol;Acc:HGNC:47822]",NA
RF00019,ENSMFAG00000034947,,NA
,ENSMFAG00000034946,,NA
,ENSMFAG00000034945,,NA
RF00019,ENSMFAG00000034943,,NA
RF00568,ENSMFAG00000034942,,NA
RF00026,ENSMFAG00000034939,"RNA, U6 small nuclear 982, pseudogene [Source:HGNC Symbol;Acc:HGNC:47945]",NA
,ENSMFAG00000034938,,NA
,ENSMFAG00000034936,,NA
RF00026,ENSMFAG00000034935,"RNA, U6 small nuclear 545, pseudogene [Source:HGNC Symbol;Acc:HGNC:47508]",NA
RF00019,ENSMFAG00000034934,,NA
RF00019,ENSMFAG00000034932,,NA
RF02138,ENSMFAG00000034929,,NA
,ENSMFAG00000034925,,NA
,ENSMFAG00000034924,,NA
RF00026,ENSMFAG00000034922,"RNA, U6 small nuclear 420, pseudogene [Source:HGNC Symbol;Acc:HGNC:47383]",NA
RF00026,ENSMFAG00000034921,"RNA, U6 small nuclear 1231, pseudogene [Source:HGNC Symbol;Acc:HGNC:48194]",NA
RF00019,ENSMFAG00000034920,,NA
,ENSMFAG00000034919,,NA
RF00019,ENSMFAG00000034918,,NA
,ENSMFAG00000034917,,NA
,ENSMFAG00000034912,,NA
RF02205,ENSMFAG00000034911,,NA
RF00019,ENSMFAG00000034910,,NA
CTXN2,ENSMFAG00000034909,cortexin 2 [Source:HGNC Symbol;Acc:HGNC:31109],102119513
ARHGEF2,ENSMFAG00000034906,Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682],102131561
,ENSMFAG00000034905,,NA
NPHS2,ENSMFAG00000034904,"NPHS2, podocin [Source:HGNC Symbol;Acc:HGNC:13394]",102121935
GPRIN2,ENSMFAG00000034903,G protein regulated inducer of neurite outgrowth 2 [Source:HGNC Symbol;Acc:HGNC:23730],102146871
,ENSMFAG00000034902,,NA
RF00026,ENSMFAG00000034899,,NA
,ENSMFAG00000034898,,NA
RF00026,ENSMFAG00000034896,"RNA, U6 small nuclear 136, pseudogene [Source:HGNC Symbol;Acc:HGNC:47099]",NA
RF00019,ENSMFAG00000034894,,NA
RF00560,ENSMFAG00000034892,,NA
RF00019,ENSMFAG00000034891,,NA
,ENSMFAG00000034890,,NA
,ENSMFAG00000034889,cTAGE family member 8-like [Source:NCBI gene;Acc:102119200],102119200
,ENSMFAG00000034885,,NA
RF00019,ENSMFAG00000034883,,NA
RF00026,ENSMFAG00000034882,"RNA, U6 small nuclear 701, pseudogene [Source:HGNC Symbol;Acc:HGNC:47664]",NA
,ENSMFAG00000034881,,NA
RF00026,ENSMFAG00000034880,"RNA, U6 small nuclear 138, pseudogene [Source:HGNC Symbol;Acc:HGNC:47101]",NA
,ENSMFAG00000034879,,NA
RF00019,ENSMFAG00000034878,"RNA, Ro-associated Y4 [Source:HGNC Symbol;Acc:HGNC:10244]",NA
NEUROD1,ENSMFAG00000034877,neuronal differentiation 1 [Source:NCBI gene;Acc:101925532],101925532
DDX3X,ENSMFAG00000034876,DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745],101925122
RF00004,ENSMFAG00000034875,,NA
RF00402,ENSMFAG00000034874,,NA
RF00019,ENSMFAG00000034864,,NA
,ENSMFAG00000034863,,NA
RF00026,ENSMFAG00000034861,"RNA, U6 small nuclear 971, pseudogene [Source:HGNC Symbol;Acc:HGNC:47934]",NA
,ENSMFAG00000034860,,NA
RF00402,ENSMFAG00000034859,,NA
RF00026,ENSMFAG00000034858,"RNA, U6 small nuclear 103, pseudogene [Source:HGNC Symbol;Acc:HGNC:47066]",NA
RF00019,ENSMFAG00000034857,,NA
RF00004,ENSMFAG00000034856,"RNA, U2 small nuclear 29, pseudogene [Source:HGNC Symbol;Acc:HGNC:48522]",NA
,ENSMFAG00000034852,,NA
RF00026,ENSMFAG00000034851,,NA
RF00019,ENSMFAG00000034849,,NA
RF00026,ENSMFAG00000034848,"RNA, U6 small nuclear 549, pseudogene [Source:HGNC Symbol;Acc:HGNC:47512]",NA
,ENSMFAG00000034847,,NA
RF00019,ENSMFAG00000034846,,NA
RF00019,ENSMFAG00000034838,"RNA, Ro-associated Y1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42481]",NA
,ENSMFAG00000034837,,NA
RF00004,ENSMFAG00000034836,,NA
,ENSMFAG00000034835,60S ribosomal protein L34 [Source:NCBI gene;Acc:102128296],102128296
RF00026,ENSMFAG00000034834,"RNA, U6 small nuclear 836, pseudogene [Source:HGNC Symbol;Acc:HGNC:47799]",NA
RF00026,ENSMFAG00000034833,"RNA, U6 small nuclear 792, pseudogene [Source:HGNC Symbol;Acc:HGNC:47755]",NA
MIR27A,ENSMFAG00000034830,microRNA 27a [Source:HGNC Symbol;Acc:HGNC:31613],NA
RF00019,ENSMFAG00000034829,,NA
,ENSMFAG00000034826,ral-GDS-related protein-like [Source:NCBI gene;Acc:102115767],102115767
,ENSMFAG00000034823,,NA
RF00019,ENSMFAG00000034822,,NA
RF00026,ENSMFAG00000034821,"RNA, U6 small nuclear 675, pseudogene [Source:HGNC Symbol;Acc:HGNC:47638]",NA
RF00026,ENSMFAG00000034820,"RNA, U6 small nuclear 947, pseudogene [Source:HGNC Symbol;Acc:HGNC:47910]",NA
RF00004,ENSMFAG00000034819,"RNA, U2 small nuclear 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:10152]",NA
,ENSMFAG00000034818,,NA
RF00019,ENSMFAG00000034816,,NA
GPR137B,ENSMFAG00000034812,G protein-coupled receptor 137B [Source:HGNC Symbol;Acc:HGNC:11862],102141872
,ENSMFAG00000034810,,NA
RF00026,ENSMFAG00000034807,"RNA, U6 small nuclear 276, pseudogene [Source:HGNC Symbol;Acc:HGNC:47239]",NA
RF00004,ENSMFAG00000034806,,NA
,ENSMFAG00000034804,,NA
RF00026,ENSMFAG00000034803,"RNA, U6 small nuclear 1226, pseudogene [Source:HGNC Symbol;Acc:HGNC:48189]",NA
RF00019,ENSMFAG00000034802,,NA
RF00019,ENSMFAG00000034801,,NA
MAPK12,ENSMFAG00000034798,mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874],101867305
SERTAD3,ENSMFAG00000034796,SERTA domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17931],102141283
,ENSMFAG00000034794,,NA
RF00026,ENSMFAG00000034793,"RNA, U6 small nuclear 936, pseudogene [Source:HGNC Symbol;Acc:HGNC:47899]",NA
RF00026,ENSMFAG00000034792,"RNA, U6 small nuclear 90, pseudogene [Source:HGNC Symbol;Acc:HGNC:47053]",NA
,ENSMFAG00000034791,,NA
TESK1,ENSMFAG00000034790,testis associated actin remodelling kinase 1 [Source:HGNC Symbol;Acc:HGNC:11731],102146342
RF00004,ENSMFAG00000034786,,NA
RF00019,ENSMFAG00000034783,,NA
RF00019,ENSMFAG00000034780,,NA
,ENSMFAG00000034779,,NA
RF00026,ENSMFAG00000034778,"RNA, U6 small nuclear 710, pseudogene [Source:HGNC Symbol;Acc:HGNC:47673]",NA
TBC1D12,ENSMFAG00000034776,TBC1 domain family member 12 [Source:HGNC Symbol;Acc:HGNC:29082],102131977
,ENSMFAG00000034775,,NA
RF00393,ENSMFAG00000034774,"small nucleolar RNA, H/ACA box 8 [Source:HGNC Symbol;Acc:HGNC:32596]",NA
RF00026,ENSMFAG00000034772,,NA
,ENSMFAG00000034771,,NA
,ENSMFAG00000034769,,NA
RF00019,ENSMFAG00000034765,,NA
PAQR9,ENSMFAG00000034764,progestin and adipoQ receptor family member 9 [Source:HGNC Symbol;Acc:HGNC:30131],NA
RF00026,ENSMFAG00000034763,"RNA, U6 small nuclear 777, pseudogene [Source:HGNC Symbol;Acc:HGNC:47740]",NA
RF00004,ENSMFAG00000034762,,NA
RF00019,ENSMFAG00000034761,,NA
,ENSMFAG00000034759,,NA
ZFHX4,ENSMFAG00000034757,zinc finger homeobox 4 [Source:HGNC Symbol;Acc:HGNC:30939],102128097
,ENSMFAG00000034756,,NA
RF00026,ENSMFAG00000034755,"RNA, U6 small nuclear 960, pseudogene [Source:HGNC Symbol;Acc:HGNC:47923]",NA
RF00019,ENSMFAG00000034754,,NA
RF00026,ENSMFAG00000034753,"RNA, U6 small nuclear 754, pseudogene [Source:HGNC Symbol;Acc:HGNC:47717]",NA
,ENSMFAG00000034752,,NA
ITLN2,ENSMFAG00000034751,intelectin 2 [Source:HGNC Symbol;Acc:HGNC:20599],102132348
RF00019,ENSMFAG00000034750,,NA
,ENSMFAG00000034748,,NA
RF00004,ENSMFAG00000034747,"RNA, U2 small nuclear 16, pseudogene [Source:HGNC Symbol;Acc:HGNC:48509]",NA
,ENSMFAG00000034746,,NA
RF00026,ENSMFAG00000034743,"RNA, U6 small nuclear 432, pseudogene [Source:HGNC Symbol;Acc:HGNC:47395]",NA
RF00019,ENSMFAG00000034742,,NA
MIR346,ENSMFAG00000034741,microRNA 346 [Source:HGNC Symbol;Acc:HGNC:31780],NA
RF00026,ENSMFAG00000034739,,NA
,ENSMFAG00000034738,,NA
VRK1,ENSMFAG00000040460,vaccinia related kinase 1 [Source:HGNC Symbol;Acc:HGNC:12718],101866683
